1.0	1.0	10.0	1924261.083744	18.35	21.73	1157.0	1.0	30.0	783.0	1118.0
1.0	1.0	10.0	2034256.8859599999	19.4	9.06	675.0	0.0	1.0	368.0	632.0
1.0	1.0	10.0	1983812.093319	18.92	8.66	546.0	0.0	1.0	342.0	505.0
1.0	1.0	10.0	1980776.68767	18.89	13.15	792.66667	0.33333	10.66667	497.66667	751.66667
1.0	1.0	20.0	1966645.6891130002	37.51	0.49	135.0	0.0	1.0	1.0	6.0
1.0	1.0	20.0	1897965.381111	36.2	4.06	345.0	0.0	1.0	146.0	259.0
1.0	1.0	20.0	1824950.72633	34.81	38.03	1048.0	1.0	296.0	888.0	1032.0
1.0	1.0	20.0	1896520.59885	36.17333	14.19333	509.33333	0.33333	99.33333	345.0	432.33333
1.0	1.0	50.0	1628664.495114	77.66	0.65	134.0	1.0	1.0	6.0	12.0
1.0	1.0	50.0	1575547.502757	75.13	22.48	473.0	1.0	203.0	422.0	462.0
1.0	1.0	50.0	1590077.9138180001	75.82	20.49	364.0	1.0	191.0	304.0	356.0
1.0	1.0	50.0	1598096.63723	76.20333	14.54	323.66667	1.0	131.66667	244.0	276.66667
1.0	1.0	100.0	975990.63049	93.08	110.82	759.0	59.0	691.0	746.0	757.0
1.0	1.0	100.0	962834.585018	91.82	117.9	617.0	1.0	572.0	590.0	608.0
1.0	1.0	100.0	1135847.342117	108.32	9.6	133.0	1.0	46.0	72.0	97.0
1.0	1.0	100.0	1024890.85254	97.74	79.44	503.0	20.33333	436.33333	469.33333	487.33333
1.0	1.0	200.0	533504.054631	101.76	261.87	611.0	257.0	548.0	598.0	607.0
1.0	1.0	200.0	537518.813158	102.52	255.79	684.0	248.0	638.0	670.0	682.0
1.0	1.0	200.0	562556.255626	107.3	243.43	517.0	238.0	477.0	491.0	516.0
1.0	1.0	200.0	544526.37447	103.86	253.69667	604.0	247.66667	554.33333	586.33333	601.66667
1.0	1.0	500.0	267522.739433	127.56	218.68	460.0	211.0	418.0	455.0	459.0
1.0	1.0	500.0	264340.470526	126.05	220.7	364.0	217.0	339.0	362.0	364.0
1.0	1.0	500.0	280662.363177	133.83	207.23	265.0	207.0	241.0	258.0	263.0
1.0	1.0	500.0	270841.85771	129.14667	215.53667	363.0	211.66667	332.66667	358.33333	362.0
1.0	1.0	1000.0	127648.710748	121.74	223.78	735.0	192.0	483.0	700.0	735.0
1.0	1.0	1000.0	147666.863556	140.83	199.9	290.0	203.0	237.0	269.0	288.0
1.0	1.0	1000.0	146412.884334	139.63	200.66	264.0	201.0	231.0	247.0	263.0
1.0	1.0	1000.0	140576.15288	134.06667	208.11333	429.66667	198.66667	317.0	405.33333	428.66667
1.0	2.0	10.0	922628.38374	8.8	3.0	29392.0	1.0	1.0	111.0	288.0
1.0	2.0	10.0	1951828.8636450002	18.61	15.06	829.0	1.0	75.0	384.0	788.0
1.0	2.0	10.0	2154893.763737	20.55	4.34	417.0	0.0	1.0	152.0	377.0
1.0	2.0	10.0	1676450.33704	15.98667	7.46667	10212.66667	0.66667	25.66667	215.66667	484.33333
1.0	2.0	20.0	2087857.0235509998	39.82	0.54	133.0	1.0	1.0	1.0	5.0
1.0	2.0	20.0	1900129.208786	36.24	25.37	890.0	1.0	163.0	723.0	872.0
1.0	2.0	20.0	1891074.1301060002	36.07	17.46	822.0	1.0	40.0	626.0	803.0
1.0	2.0	20.0	1959686.78748	37.37667	14.45667	615.0	1.0	68.0	450.0	560.0
1.0	2.0	50.0	1750700.280112	83.48	1.37	132.0	1.0	1.0	32.0	80.0
1.0	2.0	50.0	1792757.2606669997	85.49	0.89	144.0	1.0	1.0	8.0	49.0
1.0	2.0	50.0	1759943.6818020002	83.92	0.67	134.0	1.0	1.0	2.0	12.0
1.0	2.0	50.0	1767800.40753	84.29667	0.97667	136.66667	1.0	1.0	14.0	47.0
1.0	2.0	100.0	1328374.070138	126.68	7.09	195.0	1.0	49.0	166.0	193.0
1.0	2.0	100.0	1443418.013857	137.66	1.04	138.0	1.0	2.0	6.0	23.0
1.0	2.0	100.0	1367240.907848	130.39	0.77	134.0	1.0	1.0	2.0	7.0
1.0	2.0	100.0	1379677.66395	131.57667	2.96667	155.66667	1.0	17.33333	58.0	74.33333
1.0	2.0	200.0	745823.389021	142.25	139.94	240.0	150.0	222.0	230.0	240.0
1.0	2.0	200.0	824538.258575	157.27	61.2	173.0	33.0	150.0	166.0	172.0
1.0	2.0	200.0	699300.699301	133.38	89.22	573.0	63.0	538.0	571.0	572.0
1.0	2.0	200.0	756554.11563	144.3	96.78667	328.66667	82.0	303.33333	322.33333	328.0
1.0	2.0	500.0	387596.899225	184.82	140.81	198.0	140.0	185.0	195.0	198.0
1.0	2.0	500.0	374531.835206	178.59	149.37	220.0	149.0	189.0	210.0	219.0
1.0	2.0	500.0	347705.146036	165.8	158.49	224.0	160.0	197.0	203.0	220.0
1.0	2.0	500.0	369944.62682	176.40333	149.55667	214.0	149.66667	190.33333	202.66667	212.33333
1.0	2.0	1000.0	150466.44598299998	143.5	191.97	370.0	178.0	343.0	367.0	369.0
1.0	2.0	1000.0	117426.021606	111.99	249.38	374.0	257.0	344.0	358.0	370.0
1.0	2.0	1000.0	80645.16129	76.91	375.51	1296.0	319.0	1283.0	1293.0	1295.0
1.0	2.0	1000.0	116179.20963	110.8	272.28667	680.0	251.33333	656.66667	672.66667	678.0
1.0	5.0	10.0	553146.2961319999	5.28	0.74	60001.0	1.0	1.0	3.0	8.0
