Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	500000	1390235.564	132.58	1.54	136.33333	1	4.66667	23.33333	51.66667
1	2	500	-1	16384	315855.9697	150.61	182.38	628	157	591	626	628
1	2	500	-1	16384	391542.6782	186.7	141.9	192	143	170	185	191
1	2	500	-1	16384	219683.6555	104.75	264.04	1239	163	983	1192	1237
1	2	500	-1	16384	309027.4345	147.35333	196.10667	686.33333	154.33333	581.33333	667.66667	685.33333
1	2	500	-1	50000	146649.0688	69.93	395.29	1103	408	796	1043	1101
1	2	500	-1	50000	118021.9521	56.28	518.9	2957	392	2848	2915	2956
1	2	500	-1	50000	196039.9922	93.48	303.53	1002	263	955	982	1002
1	2	500	-1	50000	153570.3377	73.23	405.90667	1687.33333	354.33333	1533	1646.66667	1686.33333
1	2	500	-1	100000	182581.7053	87.06	317.61	1350	272	1293	1320	1349
1	2	500	-1	100000	209511.8374	99.9	266.65	375	295	345	356	364
1	2	500	-1	100000	195274.3605	93.11	291.59	386	319	357	379	384
1	2	500	-1	100000	195789.3011	93.35667	291.95	703.66667	295.33333	665	685	699
1	2	500	-1	200000	156347.7173	74.55	380.36	2145	280	2072	2124	2138
1	2	500	-1	200000	208376.7452	99.36	255.39	393	292	337	355	371
1	2	500	-1	200000	196270.8538	93.59	283.16	386	313	352	364	383
1	2	500	-1	200000	186998.4388	89.16667	306.30333	974.66667	295	920.33333	947.66667	964
1	2	500	-1	500000	182215.7434	86.89	312.01	528	325	408	456	522
1	2	500	-1	500000	183049.6064	87.28	308.19	699	318	533	620	659
1	2	500	-1	500000	187125.7485	89.23	295.91	419	314	383	394	409
1	2	500	-1	500000	184130.3661	87.8	305.37	548.66667	319	441.33333	490	530
1	2	1000	-1	16384	84788.8757	80.86	359.19	920	323	819	908	918
1	2	1000	-1	16384	87244.80893	83.2	314.42	1131	315	376	1104	1128
1	2	1000	-1	16384	81142.48621	77.38	369.68	1878	272	1785	1848	1877
1	2	1000	-1	16384	84392.05695	80.48	347.76333	1309.66667	303.33333	993.33333	1286.66667	1307.66667
1	2	1000	-1	50000	119703.1362	114.16	244.31	331	262	308	318	323
1	2	1000	-1	50000	112107.6233	106.91	263.4	326	284	314	319	323
1	2	1000	-1	50000	103284.4454	98.5	283.04	412	303	353	378	411
1	2	1000	-1	50000	111698.4016	106.52333	263.58333	356.33333	283	325	338.33333	352.33333
1	2	1000	-1	100000	47801.14723	45.59	665.09	6602	147	6397	6556	6584
1	2	1000	-1	100000	195160.0312	186.12	137.25	232	148	215	226	229
1	2	1000	-1	100000	129232.3598	123.25	225.81	934	206	868	918	931
