Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	500	-1	200000000	288850.3755	137.73	891.7	1406	898	1384	1399	1405
1	2	500	-1	200000000	298507.4627	142.34	816.36	1408	847	1376	1406	1408
1	2	500	-1	200000000	308360.5267	147.03667	806.25667	1298.66667	847	1277.66667	1294.66667	1298
1	2	1000	-1	10000000	184842.8835	176.28	48.29	140	46	72	103	112
1	2	1000	-1	10000000	174886.3239	166.78	51.54	452	44	71	444	452
1	2	1000	-1	10000000	205170.2913	195.67	42.99	135	42	65	99	111
1	2	1000	-1	10000000	188299.8329	179.57667	47.60667	242.33333	44	69.33333	215.33333	225
1	2	1000	-1	33554432	167112.2995	159.37	175	703	141	648	693	702
1	2	1000	-1	33554432	194779.8987	185.76	146.5	232	143	194	222	230
1	2	1000	-1	33554432	190694.1266	181.86	152.08	223	153	181	213	221
1	2	1000	-1	33554432	184195.4416	175.66333	157.86	386	145.66667	341	376	384.33333
1	2	1000	-1	100000000	169894.6653	162.02	460.98	549	490	525	537	547
1	2	1000	-1	100000000	174155.3466	166.09	437.82	536	474	525	532	535
1	2	1000	-1	100000000	185597.6244	177	402.84	531	443	518	527	530
1	2	1000	-1	100000000	176549.2121	168.37	433.88	538.66667	469	522.66667	532	537.33333
1	2	1000	-1	200000000	151699.0291	144.67	930.71	1389	979	1372	1386	1388
1	2	1000	-1	200000000	168918.9189	161.09	805.83	1222	950	1209	1215	1222
1	2	1000	-1	200000000	166500.1665	158.79	792.47	1092	960	1066	1086	1091
1	2	1000	-1	200000000	162372.7049	154.85	843.00333	1234.33333	963	1215.66667	1229	1233.66667
1	5	100	-1	10000000	105418.5115	10.05	1.78	43880	1	5	11	17
1	5	100	-1	10000000	1425313.569	135.93	1.37	142	1	2	6	17
1	5	100	-1	10000000	1361285.053	129.82	1.33	142	1	2	5	12
1	5	100	-1	10000000	964005.7112	91.93333	1.49333	14721.33333	1	3	7.33333	15.33333
1	5	100	-1	33554432	1413627.368	134.81	1.54	136	1	2	11	25
1	5	100	-1	33554432	1321702.353	126.05	1.66	136	1	2	17	34
1	5	100	-1	33554432	1336541.032	127.46	15.47	239	2	134	209	237
1	5	100	-1	33554432	1357290.251	129.44	6.22333	170.33333	1.33333	46	79	98.66667
1	5	100	-1	100000000	1331203.408	126.95	15.18	250	1	139	237	247
1	5	100	-1	100000000	1271940.982	121.3	20.56	241	1	181	228	238
1	5	100	-1	100000000	1331912.627	127.02	10.33	136	2	87	118	129
1	5	100	-1	100000000	1311685.672	125.09	15.35667	209	1.33333	135.66667	194.33333	204.66667
1	5	100	-1	200000000	1364628.821	130.14	2.37	136	1	3	49	126
1	5	100	-1	200000000	1488981.537	142	1.37	139	1	2	6	16
1	5	100	-1	200000000	1450957.632	138.37	1.31	142	1	2	4	13
1	5	100	-1	200000000	1434855.997	136.83667	1.68333	139	1	2.33333	19.66667	51.66667
1	5	500	-1	10000000	498504.4865	237.71	31.76	149	31	44	60	63
1	5	500	-1	10000000	440917.1076	210.25	39.15	192	38	60	77	85
1	5	500	-1	10000000	492853.6225	235.01	33.38	140	34	46	50	55
1	5	500	-1	10000000	477425.0722	227.65667	34.76333	160.33333	34.33333	50	62.33333	67.66667
1	5	500	-1	33554432	384911.4704	183.54	133.11	515	114	466	514	515
1	5	500	-1	33554432	437636.7615	208.68	102.61	182	119	159	170	181
1	5	500	-1	33554432	403877.2213	192.58	140.5	421	122	387	413	420
1	5	500	-1	33554432	408808.4844	194.93333	125.40667	372.66667	118.33333	337.33333	365.66667	372
1	5	500	-1	100000000	390472.4717	186.19	341.03	481	400	464	473	480
1	5	500	-1	100000000	400480.5767	190.96	306.86	473	376	450	472	473
