Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	1000	-1	0	1048576	79113.92405	75.45	392.99	2921	211	2916	2919	2920
1	1	1000	-1	0	1048576	110925.0943	105.78667	291.02	1548.66667	203.33333	1533	1542.66667	1546.66667
1	1	1000	-1	0	5000000	149790.2936	142.85	197.19	313	205	243	296	309
1	1	1000	-1	0	5000000	143554.4071	136.9	205.02	343	200	323	340	343
1	1	1000	-1	0	5000000	155472.6368	148.27	188.73	282	193	230	264	280
1	1	1000	-1	0	5000000	149605.7792	142.67333	196.98	312.66667	199.33333	265.33333	300	310.66667
1	1	1000	-1	0	10000000	145475.7056	138.74	202.69	291	202	242	275	290
1	1	1000	-1	0	10000000	67925.55359	64.78	461.3	3509	199	3432	3490	3504
1	1	1000	-1	0	10000000	152346.1304	145.29	193.58	286	199	238	272	285
1	1	1000	-1	0	10000000	121915.7965	116.27	285.85667	1362	200	1304	1345.66667	1359.66667
1	1	1000	-1	2	1048576	154368.6323	147.22	189.97	258	191	224	248	256
1	1	1000	-1	2	1048576	150105.0736	143.15	197.06	297	206	260	286	296
1	1	1000	-1	2	1048576	142409.5699	135.81	209.05	296	207	283	294	295
1	1	1000	-1	2	1048576	148961.0919	142.06	198.69333	283.66667	201.33333	255.66667	276	282.33333
1	1	1000	-1	2	5000000	148986.8892	142.08	197.57	269	197	240	254	268
1	1	1000	-1	2	5000000	131787.0322	125.68	227.05	848	193	811	822	846
1	1	1000	-1	2	5000000	103391.2324	98.6	280.4	652	213	606	629	649
1	1	1000	-1	2	5000000	128055.0512	122.12	235.00667	589.66667	201	552.33333	568.33333	587.66667
1	1	1000	-1	2	10000000	77603.60081	74.01	385.34	573	393	511	550	568
1	1	1000	-1	2	10000000	74816.69909	71.35	410.89	2100	300	1995	2080	2098
1	1	1000	-1	2	10000000	83878.54387	79.99	363.63	1627	287	1596	1625	1626
1	1	1000	-1	2	10000000	78766.28125	75.11667	386.62	1433.33333	326.66667	1367.33333	1418.33333	1430.66667
1	1	1000	-1	5	1048576	106224.7716	101.3	287.55	794	268	688	756	792
1	1	1000	-1	5	1048576	89557.58553	85.41	340.49	1378	276	1326	1363	1377
1	1	1000	-1	5	1048576	105909.7649	101	280.93	385	283	362	374	380
1	1	1000	-1	5	1048576	100564.0407	95.90333	302.99	852.33333	275.66667	792	831	849.66667
1	1	1000	-1	5	5000000	99009.90099	94.42	309.04	896	261	843	876	891
1	1	1000	-1	5	5000000	102564.1026	97.81	289.38	549	278	475	525	548
1	1	1000	-1	5	5000000	99581.75662	94.97	299.85	390	310	358	373	386
1	1	1000	-1	5	5000000	100385.2534	95.73333	299.42333	611.66667	283	558.66667	591.33333	608.33333
1	1	1000	-1	5	10000000	74437.99315	70.99	415.41	3075	236	2977	3066	3074
1	1	1000	-1	5	10000000	116333.1782	110.94	252.75	366	261	341	350	365
1	1	1000	-1	5	10000000	106067.0344	101.15	284.49	695	272	583	672	694
1	1	1000	-1	5	10000000	98946.06858	94.36	317.55	1378.66667	256.33333	1300.33333	1362.66667	1377.66667
1	2	100	-1	0	1048576	165903.5105	15.82	39.75	25752	1	460	548	556
1	2	100	-1	0	1048576	1435132.032	136.86	0.9	137	1	2	6	10
1	2	100	-1	0	1048576	1431024.614	136.47	1.03	137	1	2	9	18
