Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	1000	-1	16384	2	92336.10342	88.06	324.42	1079	310	943	1039	1077
1	1	1000	-1	16384	2	69822.65047	66.59	405.8	2041	343	491	2018	2033
1	1	1000	-1	16384	2	103519.6687	98.72	288.74	624	287	510	602	615
1	1	1000	-1	16384	2	88559.47421	84.45667	339.65333	1248	313.33333	648	1219.66667	1241.66667
1	1	1000	-1	16384	5	92455.6213	88.17	322.79	432	333	394	409	427
1	1	1000	-1	16384	5	88059.17577	83.98	334.9	531	337	492	512	529
1	1	1000	-1	16384	5	92319.05465	88.04	326.25	601	330	472	589	600
1	1	1000	-1	16384	5	90944.61724	86.73	327.98	521.33333	333.33333	452.66667	503.33333	518.66667
1	1	1000	-1	200000	0	93231.40034	88.91	323.16	802	335	576	771	801
1	1	1000	-1	200000	0	93370.68161	89.05	320.8	415	339	393	400	412
1	1	1000	-1	200000	0	90090.09009	85.92	333.55	700	348	570	658	698
1	1	1000	-1	200000	0	92230.72401	87.96	325.83667	639	340.66667	513	609.66667	637
1	1	1000	-1	200000	2	87077.67329	83.04	346.05	448	363	419	438	445
1	1	1000	-1	200000	2	84530.85376	80.61	359.01	712	369	511	678	711
1	1	1000	-1	200000	2	88809.94671	84.7	341.17	870	350	654	827	868
1	1	1000	-1	200000	2	86806.15792	82.78333	348.74333	676.66667	360.66667	528	647.66667	674.66667
1	1	1000	-1	200000	5	85266.03001	81.32	351	789	371	687	784	787
1	1	1000	-1	200000	5	85324.23208	81.37	352.38	629	373	476	603	626
1	1	1000	-1	200000	5	86986.77801	82.96	349.27	751	355	536	710	749
1	1	1000	-1	200000	5	85859.01337	81.88333	350.88333	723	366.33333	566.33333	699	720.66667
1	1	1000	-1	500000	0	82440.23083	78.62	367.22	481	386	439	459	471
1	1	1000	-1	500000	0	82699.30533	78.87	363.11	474	380	426	438	465
1	1	1000	-1	500000	0	83472.45409	79.61	358.46	593	382	490	559	592
1	1	1000	-1	500000	0	82870.66342	79.03333	362.93	516	382.66667	451.66667	485.33333	509.33333
1	1	1000	-1	500000	2	83598.06053	79.73	363.58	745	364	462	703	742
1	1	1000	-1	500000	2	89766.60682	85.61	334.11	447	351	414	424	442
1	1	1000	-1	500000	2	82808.87711	78.97	367.14	513	383	459	499	510
1	1	1000	-1	500000	2	85391.18149	81.43667	354.94333	568.33333	366	445	542	564.66667
1	1	1000	-1	500000	5	67668.15537	64.53	459.49	2875	308	2824	2870	2874
1	1	1000	-1	500000	5	93615.42782	89.28	322.51	563	338	426	549	560
1	1	1000	-1	500000	5	90579.71015	86.38	336.58	467	357	409	427	441
1	1	1000	-1	500000	5	83954.43111	80.06333	372.86	1301.66667	334.33333	1219.66667	1282	1291.66667
1	2	100	-1	16384	0	178679.9128	17.04	1.99	24207	1	9	25	30
1	2	100	-1	16384	0	1202212.07	114.65	10.1	382	1	98	212	240
1	2	100	-1	16384	0	1419647.927	135.39	0.93	134	1	3	4	11
1	2	100	-1	16384	0	933513.3034	89.02667	4.34	8241	1	36.66667	80.33333	93.66667
1	2	100	-1	16384	2	992851.4694	94.69	45.28	928	1	309	908	925
1	2	100	-1	16384	2	1367614.88	130.43	0.6	133	0	1	4	15
1	2	100	-1	16384	2	1333688.984	127.19	3.36	135	1	30	57	60
1	2	100	-1	16384	2	1231385.111	117.43667	16.41333	398.66667	0.66667	113.33333	323	333.33333
1	2	100	-1	16384	5	1349892.009	128.74	1	140	1	4	9	17
1	2	100	-1	16384	5	1308900.524	124.83	1.36	143	1	8	18	26
1	2	100	-1	16384	5	1325205.407	126.38	0.77	135	1	3	7	17
1	2	100	-1	16384	5	1327999.313	126.65	1.04333	139.33333	1	5	11.33333	20
1	2	100	-1	200000	0	1419647.927	135.39	0.99	139	1	2	6	12
1	2	100	-1	200000	0	1219214.826	116.27	16.81	421	1	173	324	414
1	2	100	-1	200000	0	1385809.313	132.16	1.01	135	1	2	8	48
1	2	100	-1	200000	0	1341557.355	127.94	6.27	231.66667	1	59	112.66667	158
1	2	100	-1	200000	2	1141813.199	108.89	17.5	135	10	61	104	106
