Replication Factor	Partition	Message Size	Acks	Batch Size	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	1000	-1	16384	1048576	96786.68215	92.3	313.97	638	292	531	607	633
1	1	1000	-1	16384	1048576	99980.004	95.35	301.9	788	263	754	779	787
1	1	1000	-1	16384	1048576	94679.03806	90.29	324.75	631	322	554	603	625
1	1	1000	-1	16384	1048576	97148.57474	92.64667	313.54	685.66667	292.33333	613	663	681.66667
1	1	1000	-1	16384	5000000	79189.10358	75.52	384.25	1682	305	1623	1653	1681
1	1	1000	-1	16384	5000000	79138.96803	75.47	349.01	1927	281	611	1899	1926
1	1	1000	-1	16384	5000000	122010.7369	116.36	243.79	345	235	306	340	345
1	1	1000	-1	16384	5000000	93446.26952	89.11667	325.68333	1318	273.66667	846.66667	1297.33333	1317.33333
1	1	1000	-1	16384	10000000	110815.6028	105.68	269.02	390	274	336	375	386
1	1	1000	-1	16384	10000000	104318.7982	99.49	285.54	520	276	471	505	518
1	1	1000	-1	16384	10000000	100664.3849	96	298.3	421	308	371	411	415
1	1	1000	-1	16384	10000000	105266.262	100.39	284.28667	443.66667	286	392.66667	430.33333	439.66667
1	1	1000	-1	200000	1048576	100887.8128	96.21	295.14	647	309	475	618	646
1	1	1000	-1	200000	1048576	98911.96835	94.33	298.43	653	315	490	610	652
1	1	1000	-1	200000	1048576	82358.75474	78.54	368.66	1700	295	1649	1681	1698
1	1	1000	-1	200000	1048576	94052.84528	89.69333	320.74333	1000	306.33333	871.33333	969.66667	998.66667
1	1	1000	-1	200000	5000000	101276.0786	96.58	291.81	439	309	372	403	435
1	1	1000	-1	200000	5000000	80580.17728	76.85	378.87	1803	308	1749	1781	1799
1	1	1000	-1	200000	5000000	104536.9015	99.69	284.75	493	303	421	479	491
1	1	1000	-1	200000	5000000	95464.3858	91.04	318.47667	911.66667	306.66667	847.33333	887.66667	908.33333
1	1	1000	-1	200000	10000000	79327.30446	75.65	386.59	1927	297	1882	1903	1910
1	1	1000	-1	200000	10000000	105396.2901	100.51	277.19	509	290	443	481	507
1	1	1000	-1	200000	10000000	104210.0875	99.38	288.29	1242	286	1099	1225	1241
1	1	1000	-1	200000	10000000	96311.22735	91.84667	317.35667	1226	291	1141.33333	1203	1219.33333
1	1	1000	-1	500000	1048576	100280.7862	95.64	299.78	494	314	389	465	470
1	1	1000	-1	500000	1048576	80971.65992	77.22	378.75	1547	311	1486	1520	1544
1	1	1000	-1	500000	1048576	96172.34084	91.72	313.89	1059	274	937	1022	1051
1	1	1000	-1	500000	1048576	92474.92898	88.19333	330.80667	1033.33333	299.66667	937.33333	1002.33333	1021.66667
1	1	1000	-1	500000	5000000	106541.6578	101.61	280.02	466	294	351	446	462
1	1	1000	-1	500000	5000000	102459.0164	97.71	289.56	433	304	372	427	431
1	1	1000	-1	500000	5000000	97637.18024	93.11	307.89	557	322	388	524	553
1	1	1000	-1	500000	5000000	102212.6181	97.47667	292.49	485.33333	306.66667	370.33333	465.66667	482
1	1	1000	-1	500000	10000000	82822.594	78.99	368.07	2011	268	1921	1994	2003
1	1	1000	-1	500000	10000000	108530.4971	103.5	271.1	471	282	382	453	467
1	1	1000	-1	500000	10000000	101358.1999	96.66	289.23	395	310	361	372	392
1	1	1000	-1	500000	10000000	97570.43032	93.05	309.46667	959	286.66667	888	939.66667	954
1	2	100	-1	16384	1048576	194711.6321	18.57	15.99	21564	1	114	229	239
1	2	100	-1	16384	1048576	1429388.222	136.32	1.03	133	1	2	7	27
1	2	100	-1	16384	1048576	1350621.286	128.81	0.86	142	1	1	5	8
1	2	100	-1	16384	1048576	991573.7132	94.56667	5.96	7279.66667	1	39	80.33333	91.33333
1	2	100	-1	16384	5000000	1293661.061	123.37	14.17	213	1	106	193	211
1	2	100	-1	16384	5000000	1134301.27	108.18	48.9	736	1	688	730	735
1	2	100	-1	16384	5000000	1378169.791	131.43	0.77	141	1	1	3	12
1	2	100	-1	16384	5000000	1268710.707	120.99333	21.28	363.33333	1	265	308.66667	319.33333
1	2	100	-1	16384	10000000	1379690.949	131.58	1.15	141	1	2	14	34
1	2	100	-1	16384	10000000	1412828.483	134.74	0.79	136	1	1	4	11
