Replication Factor	Partition	Message Size	Acks	Batch Size	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	500	-1	500000	200000000	189322.2264	90.28	1292.97	2234	1439	2168	2207	2229
1	1	500	-1	500000	200000000	155646.1949	74.22	1861.51	3174.66667	1916.66667	3126	3151.66667	3171.66667
1	1	1000	-1	16384	33554432	64800.41472	61.8	478.96	2572	313	2483	2552	2555
1	1	1000	-1	16384	33554432	105329.6819	100.45	283.23	393	296	363	375	391
1	1	1000	-1	16384	33554432	98019.99608	93.48	303.88	804	238	791	803	804
1	1	1000	-1	16384	33554432	89383.36424	85.24333	355.35667	1256.33333	282.33333	1212.33333	1243.33333	1250
1	1	1000	-1	16384	100000000	85367.9358	81.41	962.7	1236	1037	1190	1214	1233
1	1	1000	-1	16384	100000000	85440.87492	81.48	927.95	1456	1023	1340	1396	1435
1	1	1000	-1	16384	100000000	87077.67329	83.04	906.93	1306	1032	1177	1210	1296
1	1	1000	-1	16384	100000000	85962.16133	81.97667	932.52667	1332.66667	1030.66667	1235.66667	1273.33333	1321.33333
1	1	1000	-1	16384	200000000	85266.03001	81.32	1625.22	2471	1933	2417	2464	2470
1	1	1000	-1	16384	200000000	77639.75155	74.04	1916.35	2809	2042	2674	2780	2808
1	1	1000	-1	16384	200000000	86580.08658	82.57	1605.9	2388	1950	2351	2371	2387
1	1	1000	-1	16384	200000000	83161.95605	79.31	1715.82333	2556	1975	2480.66667	2538.33333	2555
1	1	1000	-1	200000	33554432	83416.75008	79.55	359.45	559	361	457	518	556
1	1	1000	-1	200000	33554432	81155.65655	77.4	370.74	705	395	515	669	704
1	1	1000	-1	200000	33554432	80334.19023	76.61	374.69	517	402	471	494	498
1	1	1000	-1	200000	33554432	81635.53229	77.85333	368.29333	593.66667	386	481	560.33333	586
1	1	1000	-1	200000	100000000	77760.49767	74.16	1051.25	1401	1229	1338	1373	1382
1	1	1000	-1	200000	100000000	66657.77896	63.57	1295.72	3063	1032	2992	3043	3061
1	1	1000	-1	200000	100000000	91945.56822	87.69	873.34	1165	996	1137	1152	1162
1	1	1000	-1	200000	100000000	78787.94828	75.14	1073.43667	1876.33333	1085.66667	1822.33333	1856	1868.33333
1	1	1000	-1	200000	200000000	85587.1277	81.62	1587.68	2423	2030	2367	2395	2413
1	1	1000	-1	200000	200000000	82808.87711	78.97	1684.04	2558	2188	2502	2526	2556
1	1	1000	-1	200000	200000000	81579.37673	77.8	1686.2	2571	2184	2520	2567	2569
1	1	1000	-1	200000	200000000	83325.12718	79.46333	1652.64	2517.33333	2134	2463	2496	2512.66667
1	1	1000	-1	500000	33554432	81473.03243	77.7	370.82	468	387	442	457	464
1	1	1000	-1	500000	33554432	80089.70047	76.38	377.49	810	397	562	773	807
1	1	1000	-1	500000	33554432	80658.17067	76.92	375.01	470	395	446	460	466
