0.94 (+/- 0.02)
0.95 (+/- 0.02)
-0.27 (+/- 0.03)
-0.10 (+/- 0.03)
-0.25 (+/- 0.03)
0.94 (+/- 0.02)
0.94 (+/- 0.02)
0.27 (+/- 0.02)
0.10 (+/- 0.02)
0.25 (+/- 0.03)
0.9403043022898125
0.9404082676234258
0.264210458645828
0.12340593266916511
0.23266713772903547
0.93 (+/- 0.03)
0.93 (+/- 0.02)
-0.28 (+/- 0.03)
-0.10 (+/- 0.02)
-0.27 (+/- 0.03)
0.93 (+/- 0.02)
0.93 (+/- 0.02)
0.28 (+/- 0.03)
0.10 (+/- 0.02)
0.27 (+/- 0.04)
0.9402074451911238
0.9403594774206934
0.27337042200103634
0.09151135994390329
0.25451116058922363
0.94 (+/- 0.02)
0.94 (+/- 0.02)
-0.27 (+/- 0.03)
-0.10 (+/- 0.02)
-0.27 (+/- 0.01)
0.94 (+/- 0.02)
0.94 (+/- 0.02)
0.27 (+/- 0.03)
0.10 (+/- 0.02)
0.27 (+/- 0.02)
0.9469227984729736
0.9469509381944096
0.270436392881138
0.09264800701704017
0.264884952359143
0.94 (+/- 0.02)
0.94 (+/- 0.04)
-0.27 (+/- 0.03)
-0.11 (+/- 0.04)
-0.25 (+/- 0.04)
0.94 (+/- 0.03)
0.94 (+/- 0.03)
0.27 (+/- 0.03)
0.10 (+/- 0.05)
0.25 (+/- 0.03)
0.9420209716930095
0.9424322470776607
0.2791964204319574
0.10089422095941004
0.25449886212493045
0.93 (+/- 0.04)
0.93 (+/- 0.05)
-0.22 (+/- 0.05)
-0.09 (+/- 0.06)
-0.17 (+/- 0.06)
0.93 (+/- 0.07)
0.93 (+/- 0.07)
0.22 (+/- 0.04)
0.09 (+/- 0.07)
0.16 (+/- 0.04)
0.9478319362573147
0.9507406121093793
0.2041528086321027
0.07372937302059623
0.15295320737429474
0.93 (+/- 0.01)
0.93 (+/- 0.01)
-0.31 (+/- 0.02)
-0.14 (+/- 0.04)
-0.28 (+/- 0.02)
0.93 (+/- 0.01)
0.93 (+/- 0.01)
0.31 (+/- 0.02)
0.14 (+/- 0.03)
0.28 (+/- 0.02)
0.9398191023671488
0.9400405431549688
0.28639788535953725
0.11239461578432668
0.2654754005790414
0.94 (+/- 0.01)
0.94 (+/- 0.02)
-0.29 (+/- 0.03)
-0.12 (+/- 0.02)
-0.27 (+/- 0.02)
0.94 (+/- 0.01)
0.94 (+/- 0.01)
0.29 (+/- 0.02)
0.12 (+/- 0.02)
0.27 (+/- 0.02)
0.9362872882500406
0.9366288999287238
0.291322332787596
0.12355520980465409
0.2704767007163502
0.94 (+/- 0.01)
0.94 (+/- 0.01)
-0.28 (+/- 0.02)
-0.11 (+/- 0.01)
-0.27 (+/- 0.02)
0.94 (+/- 0.01)
0.94 (+/- 0.01)
0.28 (+/- 0.02)
0.11 (+/- 0.02)
0.27 (+/- 0.02)
0.9362687290539712
0.9372887648434481
0.29022298919871603
0.11817477467566039
0.2732924756794457
0.93 (+/- 0.01)
0.93 (+/- 0.01)
-0.30 (+/- 0.03)
-0.13 (+/- 0.03)
-0.28 (+/- 0.02)
0.93 (+/- 0.01)
0.93 (+/- 0.01)
0.30 (+/- 0.02)
0.13 (+/- 0.03)
0.28 (+/- 0.02)
0.9297412800212547
0.9298482841273678
0.3044449150448748
0.13104038446181487
0.2849504077764369
0.94 (+/- 0.01)
0.94 (+/- 0.01)
-0.27 (+/- 0.02)
-0.10 (+/- 0.01)
-0.26 (+/- 0.01)
0.94 (+/- 0.01)
0.94 (+/- 0.01)
0.27 (+/- 0.02)
0.10 (+/- 0.01)
0.26 (+/- 0.02)
0.937891306846842
0.9379917018792386
0.2734613550174129
0.09891021005487145
0.2697666017230196
