1	1	10	33554432	16384	2	2088293.029278	19.92	32.56	1350.00	1	148	1000	1321
1	1	10	33554432	1000000	10	2413593.357791	23.02	18.89	684.00	10	17	310	673
1	1	10	33554432	200000	1	2505763.255488	23.90	5.52	499.00	1	3	187	474
1	1	10	33554432	10000	10	2161975.180525	20.62	0.84	195.00	0	1	2	147
1	1	10	33554432	500000	5	2508780.732564	23.93	9.33	277.00	5	8	175	270
1	1	10	33554432	200000	0	1967109.922102	18.76	19.54	1268.00	0	3	861	1236
1	1	10	33554432	10000	1	2107925.801012	20.10	9.24	527.00	0	1	372	503
1	1	10	33554432	200000	5	2386065.378191	22.76	30.33	1193.00	4	131	836	1178
1	1	10	33554432	100000	5	2404655.412879	22.93	22.30	1187.00	2	34	779	1141
1	1	10	33554432	200000	10	2461477.871314	23.47	6.95	306.00	4	7	133	296
1	1	10	33554432	10000	5	2218672.346468	21.16	2.27	263.00	0	1	87	229
1	1	10	33554432	500000	2	2270250.635670	21.65	38.81	1516.00	2	175	1185	1497
1	1	10	33554432	100000	1	2460993.256878	23.47	3.99	265.00	1	3	129	241
1	1	10	33554432	500000	10	2228362.599162	21.25	53.55	1440.00	9	251	1202	1429
1	1	10	33554432	100000	1	2205558.006176	21.03	48.29	1452.00	2	279	1162	1412
1	1	10	33554432	500000	0	2066713.512173	19.71	4.37	333.00	0	1	163	295
1	1	10	33554432	50000	10	2236636.099307	21.33	38.98	1428.00	1	180	1091	1411
1	1	10	33554432	50000	1	2491032.283778	23.76	2.59	248.00	1	2	72	220
1	1	10	33554432	200000	2	2438786.459858	23.26	10.67	644.00	2	5	276	623
1	1	10	33554432	200000	10	2403730.589875	22.92	7.58	278.00	4	7	177	261
1	1	10	33554432	1000000	0	2023554.170545	19.30	4.81	381.00	0	1	176	356
1	1	10	33554432	100000	2	2427537.990970	23.15	21.97	1314.00	2	10	775	1241
1	1	10	33554432	10000	0	1992666.985493	19.00	21.61	1160.00	0	39	780	1126
1	1	10	33554432	50000	2	2491528.802073	23.76	4.22	273.00	1	2	148	257
1	1	10	33554432	10000	5	2083072.949215	19.87	33.80	1497.00	0	60	1174	1465
1	1	10	33554432	100000	0	2025439.520376	19.32	4.07	363.00	0	1	152	327
