File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
		Cross Validation	100	0.01	0.9561728395	100	0.1	0.8864197531	100	0.01	0.9160493827	100	0.01	0.8037037037
	7	Validation data	100	0.01	0.9444423923	100	0.1	0.8665746216	100	0.01	0.8659664591	100	0.01	0.7053850765
		Test data	100	0.01	0.9167627231	100	0.1	0.8383502881	100	0.01	0.8789371274	100	0.01	0.6921099483
		Cross Validation	100	0.01	0.9345679012	100	0.1	0.8487654321	100	0.01	0.8722222222	100	0.01	0.6765432099
	10	Validation data	100	0.01	0.8820194762	100	0.1	0.7133148258	100	0.01	0.8385116459	100	0.01	0.5595442933
		Test data	100	0.01	0.8943883081	100	0.1	0.7620395025	100	0.01	0.8104399033	100	0.01	0.5702995279
		Cross Validation	100	0.01	0.887037037	100	0.1	0.7407407407	100	0.01	0.8141975309	100	0.01	0.5845679012
Message Size	2	Validation data	100	0.01	0.9834710744	100	1	0.8941047738	100	0.1	0.9840410373	100	0.1	0.9674617842
		Test data	100	0.01	0.9872025955	100	1	0.9020948753	100	0.1	0.9559576023	100	0.1	0.934215267
		Cross Validation	100	0.01	0.9788428024	100	1	0.8994597421	100	0.1	0.9735447891	100	0.1	0.9537120948
	3	Validation data	1	0.1	0.8243596681	100	0.01	0.8152443555	100	0.01	0.941934099	100	0.01	0.8779052347
		Test data	1	0.1	0.8596546564	100	0.01	0.8215078437	100	0.01	0.9869686235	100	0.01	0.9148542575
		Cross Validation	1	0.1	0.8651010805	100	0.01	0.8704426629	100	0.01	0.9484053677	100	0.01	0.9074154758
	5	Validation data	100	0.01	0.8201590687	100	0.01	0.7771020196	100	0.01	0.8565171192	100	0.01	0.8046731482
		Test data	100	0.01	0.8708332031	100	0.01	0.7473927875	100	0.01	0.8373066194	100	0.01	0.8298449886
		Cross Validation	100	0.01	0.8730219589	100	0.01	0.7552718717	100	0.01	0.8651097944	100	0.01	0.834654932
	7	Validation data	100	0.01	0.7906283914	100	0.01	0.699812487	100	0.01	0.8551922008	100	0.01	0.7740022091
		Test data	100	0.01	0.8714157637	100	0.01	0.6536367876	100	0.01	0.7898750703	100	0.01	0.7157652962
		Cross Validation	100	0.01	0.7976036947	100	0.01	0.6984227954	100	0.01	0.8055594284	100	0.01	0.7697804113
	10	Validation data	100	0.1	0.7686960099	100	0.01	0.6675849403	100	0.01	0.7032413867	100	0.01	0.6421656397
		Test data	100	0.1	0.809109182	100	0.01	0.6896143959	100	0.01	0.7354799171	100	0.01	0.5983278509
		Cross Validation	100	0.1	0.7843935169	100	0.01	0.6018124782	100	0.01	0.7381230394	100	0.01	0.6388637156
Batch Size + Buffer Memory	2	Validation data	100	0.01	0.9936559837	10	0.01	0.9614561028	100	0.01	0.9616270944	100	0.01	0.9532391558
		Test data	100	0.01	0.9864017403	10	0.01	0.9163694694	100	0.01	0.9708935462	100	0.01	0.9488053026
		Cross Validation	100	0.01	0.988681595	10	0.01	0.9413614042	100	0.01	0.9766823704	100	0.01	0.9533618036
	3	Validation data	100	1	0.9624738943	100	0.1	0.9270624011	100	0.01	0.9276201951	100	0.01	0.9039354328
		Test data	100	1	0.9552313786	100	0.1	0.9366011861	100	0.01	0.9389008965	100	0.01	0.9237091325
		Cross Validation	100	1	0.96399234	100	0.1	0.9266083555	100	0.01	0.9382733382	100	0.01	0.9218120727
	5	Validation data	100	0.01	0.9541054435	100	0.1	0.8810597223	100	0.01	0.8853616597	100	0.01	0.9021996172
		Test data	100	0.01	0.9464889888	100	0.1	0.8854329103	100	0.01	0.9100063313	100	0.01	0.8731805682
		Cross Validation	100	0.01	0.9482171809	100	0.1	0.894384854	100	0.01	0.8957558918	100	0.01	0.8648858056
	7	Validation data	100	0.01	0.9468876489	100	0.1	0.8271437491	100	0.01	0.8751492733	100	0.01	0.8109057756
		Test data	100	0.01	0.9606908151	100	0.1	0.8261364278	100	0.01	0.8749190877	100	0.01	0.8043071158
		Cross Validation	100	0.01	0.9444359595	100	0.1	0.8367566202	100	0.01	0.858381306	100	0.01	0.8058988698
	10	Validation data	100	0.01	0.9111676824	100	0.01	0.6826903028	100	0.01	0.7941725999	100	0.01	0.7233120023
		Test data	100	0.01	0.8853208302	100	0.01	0.6861794436	100	0.01	0.7747896043	100	0.01	0.7308223297
		Cross Validation	100	0.01	0.9091290914	100	0.01	0.6841602246	100	0.01	0.7842935689	100	0.01	0.72908433
Batch Size + Linger Ms	2	Validation data	100	0.01	0.9808089992	10	0.01	0.9466789387	100	0.01	0.9679424475	100	0.01	0.9525147092
