File	Buckets	Test Type	C-Records	Records/sec	C-MB	MB/sec	C-Avg	Avg latency	C-Max	Max latency		
		Cross Validation	100	0.7103084699	100	0.5437173231	100	0.7077030324	100	0.5409463228		
	10	Validation data	100	0.5123966942	100	0.4049586777	100	0.5950413223	100	0.4462809917		
		Test data	100	0.5986842105	100	0.4144736842	100	0.5460526316	100	0.4407894737		
		Cross Validation	100	0.5158330429	100	0.4536336703	100	0.6085221331	100	0.4259498083		
Batch Size + Buffer Memory	2	Validation data	100	0.9957173448	0.1	0.9079229122	100	0.9614561028	10	0.9507494647		
		Test data	100	0.9965753425	0.1	0.9160958904	100	0.9640410959	10	0.9606164384		
		Cross Validation	100	0.9976009775	0.1	0.9218061985	100	0.9626183651	10	0.9533618036		
	3	Validation data	100	0.9914346895	100	0.7623126338	100	0.903640257	100	0.9079229122		
		Test data	100	0.9880136986	100	0.7517123288	100	0.9178082192	100	0.904109589		
		Cross Validation	100	0.9910853169	100	0.7633825983	100	0.9173600179	100	0.9026057943		
	5	Validation data	100	0.7880085653	0.1	0.6274089936	100	0.8029978587	100	0.7687366167		
		Test data	100	0.7859589041	0.1	0.6147260274	100	0.8047945205	100	0.7962328767		
		Cross Validation	100	0.7805276205	0.1	0.6279141897	100	0.813102399	100	0.767831716		
	7	Validation data	100	0.7087794433	10	0.5374732334	100	0.7173447537	100	0.6552462527		
		Test data	100	0.7157534247	10	0.5068493151	100	0.7089041096	100	0.698630137		
		Cross Validation	100	0.7037124932	10	0.5336062877	100	0.7294262083	100	0.6591108814		
	10	Validation data	100	0.625267666	1	0.4475374732	100	0.608137045	100	0.4989293362		
		Test data	100	0.5890410959	1	0.4315068493	100	0.6113013699	100	0.5393835616		
		Cross Validation	100	0.6063141756	1	0.4176901478	100	0.596029042	100	0.5301786931		
Batch Size + Linger Ms	2	Validation data	100	0.9957173448	1	0.9400428266	100	0.9293361884	100	0.948608137		
		Test data	100	0.9914383562	1	0.9143835616	100	0.9366438356	100	0.9520547945		
		Cross Validation	100	0.99382798	1	0.9204410348	100	0.9437592519	100	0.9526768721		
	3	Validation data	100	0.9957173448	100	0.8072805139	100	0.9186295503	100	0.903640257		
		Test data	100	0.9897260274	100	0.7636986301	100	0.904109589	100	0.8852739726		
		Cross Validation	100	0.9893682887	100	0.8062360488	100	0.8971198806	100	0.890267041		
	5	Validation data	100	0.7880085653	100	0.6209850107	100	0.7751605996	100	0.7451820128		
		Test data	100	0.7842465753	100	0.6421232877	100	0.7979452055	100	0.7517123288		
		Cross Validation	100	0.7767516859	100	0.6536284922	100	0.7757190019	100	0.7465659437		
	7	Validation data	100	0.7259100642	10	0.5524625268	100	0.6959314775	100	0.5952890792		
		Test data	100	0.727739726	10	0.5599315068	100	0.6952054795	100	0.5702054795		
		Cross Validation	100	0.7345737682	10	0.5857380343	100	0.7047340163	100	0.6087126107		
	10	Validation data	100	0.6423982869	1	0.443254818	100	0.5610278373	100	0.4668094218		
		Test data	100	0.6095890411	1	0.4640410959	100	0.5941780822	100	0.4914383562		
		Cross Validation	100	0.6087178975	1	0.4375831199	100	0.5912245354	100	0.4838882493		
Batch Size + Max Request Size	2	Validation data	100	0.9978586724	10	0.9229122056	10	0.9314775161	100	0.965738758		
		Test data	100	0.9965753425	10	0.9092465753	10	0.9383561644	100	0.9434931507		
		Cross Validation	100	0.9941686835	10	0.9183821283	10	0.9492439907	100	0.9547357786		
	3	Validation data	100	0.9850107066	100	0.7944325482	100	0.9014989293	100	0.9057815846		
		Test data	100	0.9863013699	100	0.7996575342	100	0.8835616438	100	0.8938356164		
		Cross Validation	100	0.9897154538	100	0.792861087	100	0.8943825043	100	0.9094568716		
	5	Validation data	100	0.7987152034	10	0.6788008565	100	0.7730192719	100	0.7473233405		
		Test data	100	0.8407534247	10	0.6386986301	100	0.7517123288	100	0.7517123288		
		Cross Validation	100	0.8089851735	10	0.6649392608	100	0.7681688949	100	0.7458815997		
	7	Validation data	100	0.721627409	100	0.5481798715	100	0.6531049251	100	0.5503211991		
		Test data	100	0.6917808219	100	0.5924657534	100	0.6095890411	100	0.5839041096		
		Cross Validation	100	0.718106041	100	0.5675638525	100	0.6416351418	100	0.5799096548		
	10	Validation data	100	0.6102783726	100	0.4710920771	100	0.573875803	100	0.4882226981		
		Test data	100	0.6198630137	100	0.5308219178	100	0.6044520548	100	0.4691780822		
		Cross Validation	100	0.604937851	100	0.4852457765	100	0.5860881365	100	0.4794191593		
Buffer Memory + Linger Ms	2	Validation data	100	0.9978586724	10	0.8608137045	100	0.9614561028	100	0.9528907923		
		Test data	100	0.9897260274	10	0.8424657534	100	0.9640410959	100	0.9623287671		
		Cross Validation	100	0.9965712305	10	0.85527503	100	0.9595332362	100	0.9591907705		
	3	Validation data	100	0.9935760171	10	0.7644539615	100	0.9250535332	100	0.8993576017		
		Test data	100	0.9897260274	10	0.7688356164	100	0.9229452055	100	0.9092465753		
		Cross Validation	100	0.9914277826	10	0.769897084	100	0.9266095303	100	0.9183791912		
	5	Validation data	100	0.7965738758	100	0.5417558887	100	0.8072805139	100	0.7580299786		
		Test data	100	0.7910958904	100	0.5804794521	100	0.7979452055	100	0.727739726		
		Cross Validation	100	0.7781268357	100	0.5665282314	100	0.8089945722	100	0.7777749712		
	7	Validation data	100	0.7237687366	10	0.4967880086	100	0.7023554604	100	0.7109207709		
		Test data	100	0.7397260274	10	0.5136986301	100	0.7157534247	100	0.6729452055		
		Cross Validation	100	0.7331933316	10	0.4917673113	100	0.7115933175	100	0.6742146197		
	10	Validation data	100	0.6295503212	100	0.3768736617	100	0.6017130621	100	0.5139186296		
		Test data	100	0.595890411	100	0.3886986301	100	0.6352739726	100	0.5376712329		
		Cross Validation	100	0.6052867784	100	0.39060422	100	0.5994630983	100	0.5507495477		
Linger Ms + Max Request Size	2	Validation data	1	0.9892933619	100	0.9079229122	100	0.9678800857	100	0.9507494647		
		Test data	1	0.9914383562	100	0.9109589041	100	0.9606164384	100	0.9606164384		
		Cross Validation	1	0.9938273926	100	0.9070631359	100	0.9639929275	100	0.9588465424		
	3	Validation data	100	0.982869379	10	0.7880085653	100	0.9164882227	100	0.8972162741		
		Test data	100	0.9794520548	10	0.7996575342	100	0.9280821918	100	0.9075342466		
		Cross Validation	100	0.9900532202	10	0.7812090275	100	0.9242134449	100	0.9176924975		
	5	Validation data	100	0.7623126338	100	0.6209850107	100	0.8201284797	100	0.7408993576		
		Test data	100	0.7808219178	100	0.6438356164	100	0.7996575342	100	0.7294520548		
		Cross Validation	100	0.7925109848	100	0.6412909138	100	0.8055593411	100	0.7338923612		
	7	Validation data	100	0.7430406852	100	0.5331905782	10	0.7087794433	100	0.5867237687		
		Test data	100	0.7328767123	100	0.5582191781	10	0.6660958904	100	0.6010273973		
		Cross Validation	100	0.7431542095	100	0.5483575742	10	0.693413849	100	0.6169417749		
	10	Validation data	100	0.6295503212	100	0.4796573876	100	0.5674518201	100	0.5096359743		
		Test data	100	0.6284246575	100	0.4452054795	100	0.5684931507	100	0.4863013699		
		Cross Validation	100	0.649864306	100	0.4317688386	100	0.5819620997	100	0.4804500811		
