 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
		Test data	1	0.5842025684	1	0.3721062525	20	0.4804428606	4	0.2616745952		
		Cross Validation	1	0.6283025444	1	0.4722987104	20	0.4457476473	4	0.2830690136		
	10	Validation data	1	0.517959795	1	0.4609154963	8	0.4139846036	1	0.2493517502		
		Test data	1	0.5228866206	1	0.4707676611	8	0.3440850604	1	0.2855667648		
		Cross Validation	1	0.5463227605	1	0.4458086441	8	0.3928459394	1	0.2314482398		
Batch Size + Buffer Memory	2	Validation data	1	0.9280257651	1	0.8975068913	5	0.9275692748	2	0.8419551706		
		Test data	1	0.9076480541	1	0.883124873	5	0.8886992729	2	0.8741516521		
		Cross Validation	1	0.9242093329	1	0.9111809488	5	0.9115228271	2	0.8473953805		
	3	Validation data	1	0.8532431745	1	0.8780854912	1	0.8544507473	1	0.7902877905		
		Test data	1	0.8437724677	1	0.8482016202	1	0.8430154958	1	0.766771685		
		Cross Validation	1	0.8576781644	1	0.8772368947	1	0.8590450903	1	0.8000710778		
	5	Validation data	1	0.7796281566	1	0.8428995356	1	0.7840459764	1	0.6871573977		
		Test data	1	0.8169284999	1	0.8299010355	1	0.7760659636	1	0.6897476944		
		Cross Validation	1	0.7870415188	1	0.8446556545	1	0.78600766	1	0.688622853		
	7	Validation data	1	0.7786392181	1	0.8055707675	1	0.7674650231	1	0.6010645658		
		Test data	1	0.7388110797	1	0.8056150563	1	0.7545693262	1	0.6147641249		
		Cross Validation	1	0.7726350478	1	0.8343634719	1	0.7489620292	1	0.6124826711		
	10	Validation data	1	0.6519238851	1	0.8042669415	1	0.6805423641	1	0.5548266289		
		Test data	1	0.664831191	1	0.7739167435	1	0.6786275721	1	0.4875213749		
		Cross Validation	1	0.69307667	1	0.8055540544	1	0.6886193285	1	0.5164741888		
Batch Size + Linger Ms	2	Validation data	1	0.8978712999	1	0.9271981693	1	0.912514915	1	0.8186761643		
		Test data	1	0.9357386153	1	0.9077714272	1	0.9269757937	1	0.8147581654		
		Cross Validation	1	0.9348475058	1	0.9221486642	1	0.9067165582	1	0.845673653		
	3	Validation data	1	0.8837404417	1	0.8994801061	1	0.8376275838	1	0.7169242835		
		Test data	1	0.9141534555	1	0.877059325	1	0.8348666012	1	0.6955510233		
		Cross Validation	1	0.9104895557	1	0.9026093188	1	0.8611151578	1	0.7304518433		
	5	Validation data	1	0.8321045564	1	0.8532714255	1	0.8091427282	1	0.636972275		
		Test data	1	0.8442460817	1	0.8558340489	1	0.8211416222	1	0.6264451723		
		Cross Validation	1	0.8477349092	1	0.8823785803	1	0.8158503489	1	0.6268750441		
	7	Validation data	1	0.8305067961	1	0.8580604173	1	0.7728545021	1	0.5898474935		
		Test data	1	0.801107507	1	0.8567331358	1	0.7523079625	1	0.5312887317		
		Cross Validation	1	0.8154943725	1	0.866260368	1	0.7709221316	1	0.5246974788		
	10	Validation data	1	0.7052340202	1	0.8282183822	1	0.7160744362	1	0.4644584364		
		Test data	1	0.7255962286	1	0.8468820944	1	0.7254816288	1	0.4704302456		
		Cross Validation	1	0.7307954839	1	0.8542540943	1	0.7266712094	1	0.4639858784		
Batch Size + Max Request Size	2	Validation data	3	0.8872467063	1	0.8976202492	1	0.8961443842	1	0.8196523129		
		Test data	3	0.8770396774	1	0.9028695761	1	0.893790561	1	0.7972087754		
		Cross Validation	3	0.900545713	1	0.8978124486	1	0.8923212481	1	0.8086380084		
	3	Validation data	1	0.8156722755	1	0.8918126626	1	0.8129495516	1	0.6591981369		
		Test data	1	0.8326502531	1	0.8616187386	1	0.7812039891	1	0.6689652355		
		Cross Validation	1	0.8576828638	1	0.8782660542	1	0.8285303931	1	0.6862109072		
	5	Validation data	1	0.7826657892	1	0.8447382372	1	0.7772765339	1	0.5604342176		
		Test data	1	0.7651235974	1	0.820067883	1	0.7659969834	1	0.5473849331		
		Cross Validation	1	0.7849785004	1	0.8539104537	1	0.7668054936	1	0.5730450668		
	7	Validation data	1	0.6899334135	1	0.7975133098	1	0.7096781344	1	0.483277464		
		Test data	1	0.7198088985	1	0.7914393104	1	0.7214836646	1	0.4891524304		
		Cross Validation	1	0.712626589	1	0.8138037783	1	0.7270295355	1	0.4739273714		
