File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
		Cross Validation	100	0.7062391077	100	0.5768037644	100	0.7261415127	100	0.5357180202		
	10	Validation data	100	0.536649125	100	0.4203888187	100	0.6175643227	100	0.463779884		
		Test data	100	0.5680536569	100	0.5277605364	100	0.6004992222	100	0.4413175275		
		Cross Validation	100	0.5515946323	100	0.4617201115	100	0.6058208435	100	0.4391164169		
Batch Size + Buffer Memory	2	Validation data	100	1	0.1	0.9230053615	100	0.9657647922	10	0.9537021698		
		Test data	100	0.9965970175	0.1	0.9198887465	100	0.969395721	10	0.9641961632		
		Cross Validation	100	0.9979422684	0.1	0.9235202895	100	0.9639899904	10	0.9516471252		
	3	Validation data	100	0.9957173448	100	0.733968083	100	0.899873928	100	0.8805039209		
		Test data	100	0.996614259	100	0.7724717441	100	0.9160659359	100	0.9191253198		
		Cross Validation	100	0.9886821824	100	0.7640499072	100	0.9156382904	100	0.9026052069		
	5	Validation data	100	0.7596504015	0.1	0.6416916667	100	0.8229066578	100	0.7749531496		
		Test data	100	0.8117534852	0.1	0.7030544252	100	0.8240492573	100	0.7606569665		
		Cross Validation	100	0.7839487535	0.1	0.6289492234	100	0.8106945652	100	0.7729769261		
	7	Validation data	100	0.7287400559	10	0.5341734534	100	0.7160373422	100	0.6679663471		
		Test data	100	0.6700193907	10	0.5283197652	100	0.7235160659	100	0.6739917196		
		Cross Validation	100	0.7040420358	10	0.5353233159	100	0.7314939261	100	0.6580905331		
	10	Validation data	100	0.581194837	1	0.4292324538	100	0.6153216454	100	0.5335580252		
		Test data	100	0.6143996958	1	0.3984432509	100	0.5843997506	100	0.5501311572		
		Cross Validation	100	0.6090497897	1	0.4166639254	100	0.5997996898	100	0.5336115745		
Batch Size + Linger Ms	2	Validation data	100	0.9957173448	1	0.9230222591	100	0.9361653597	100	0.9554843665		
		Test data	100	0.9931717873	1	0.9075830437	100	0.9401339501	100	0.9555732783		
		Cross Validation	100	0.9941686835	1	0.9207793886	100	0.94307667	100	0.9512993726		
	3	Validation data	100	0.9957304016	100	0.8078882037	100	0.9165514253	100	0.8882776326		
		Test data	100	0.9863452219	100	0.8371892234	100	0.8899122627	100	0.905537612		
		Cross Validation	100	0.9890264104	100	0.8048697103	100	0.8974611716	100	0.893348058		
	5	Validation data	100	0.7381136179	100	0.6866164643	100	0.7663792097	100	0.7461644768		
		Test data	100	0.7826003685	100	0.6737780236	100	0.7764819546	100	0.7760258476		
		Cross Validation	100	0.7798297657	100	0.6556891609	100	0.7784604901	100	0.7482794474		
	7	Validation data	100	0.7058270702	10	0.5676849479	100	0.7136992088	100	0.6380523919		
		Test data	100	0.7056292713	10	0.5890235618	100	0.741552976	100	0.6130217969		
