File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
		Cross Validation	100	0.01	0.9561728395	100	0.1	0.900617284	100	0.01	0.9160493827	100	0.01	0.7950617284
	7	Validation data	100	0.01	0.9230769231	100	0.1	0.8384615385	100	0.01	0.8615384615	100	0.01	0.6576923077
		Test data	100	0.01	0.9537037037	100	0.1	0.799382716	100	0.01	0.8641975309	100	0.01	0.6172839506
		Cross Validation	100	0.01	0.937654321	100	0.1	0.8358024691	100	0.01	0.8660493827	100	0.01	0.6888888889
	10	Validation data	100	0.01	0.8846153846	100	0.1	0.6961538462	100	0.01	0.7961538462	100	0.01	0.6
		Test data	100	0.01	0.8765432099	100	0.1	0.7438271605	100	0.01	0.8148148148	100	0.01	0.5154320988
		Cross Validation	100	0.01	0.887654321	100	0.1	0.7481481481	100	0.01	0.8135802469	100	0.01	0.5777777778
Message Size	2	Validation data	100	0.01	0.9752066116	100	1	0.9008264463	100	0.1	0.9752066116	100	0.1	0.9504132231
		Test data	100	0.01	0.9736842105	100	1	0.8947368421	100	0.1	0.9671052632	100	0.1	0.9276315789
		Cross Validation	100	0.01	0.9828075985	100	1	0.895547229	100	0.1	0.9762112234	100	0.1	0.9417828512
	3	Validation data	1	0.1	0.8181818182	100	0.01	0.8842975207	100	0.01	0.9421487603	100	0.01	0.8512396694
		Test data	1	0.1	0.8289473684	100	0.01	0.8223684211	100	0.01	0.9276315789	100	0.01	0.8881578947
		Cross Validation	1	0.1	0.8597159289	100	0.01	0.8584349948	100	0.01	0.9537120948	100	0.01	0.8968107354
	5	Validation data	100	0.01	0.8512396694	100	0.01	0.7768595041	100	0.01	0.8016528926	100	0.01	0.8512396694
		Test data	100	0.01	0.8552631579	100	0.01	0.7105263158	100	0.01	0.8552631579	100	0.01	0.8486842105
		Cross Validation	100	0.01	0.8836005577	100	0.01	0.7459829209	100	0.01	0.8782764029	100	0.01	0.8334088533
	7	Validation data	100	0.01	0.8016528926	100	0.01	0.7438016529	100	0.01	0.7933884298	100	0.01	0.7438016529
		Test data	100	0.01	0.7236842105	100	0.01	0.6710526316	100	0.01	0.8355263158	100	0.01	0.7631578947
		Cross Validation	100	0.01	0.7950156849	100	0.01	0.6943708609	100	0.01	0.8214098989	100	0.01	0.7619553852
	10	Validation data	100	0.1	0.7190082645	100	0.01	0.4297520661	100	0.01	0.7024793388	100	0.01	0.5950413223
		Test data	100	0.1	0.7565789474	100	0.01	0.5592105263	100	0.01	0.6973684211	100	0.01	625
		Cross Validation	100	0.1	0.785674451	100	0.01	0.5886720112	100	0.01	0.7393865458	100	0.01	0.6309428372
Batch Size + Buffer Memory	2	Validation data	100	0.01	0.9871520343	10	0.01	0.9400428266	100	0.01	0.9678800857	100	0.01	0.9614561028
		Test data	100	0.01	0.9845890411	10	0.01	0.9212328767	100	0.01	0.9811643836	100	0.01	0.9571917808
		Cross Validation	100	0.01	0.9879972509	10	0.01	0.9423929134	100	0.01	0.9711929322	100	0.01	0.9554142485
	3	Validation data	100	1	0.9550321199	100	0.1	0.9271948608	100	0.01	0.9250535332	100	0.01	0.9100642398
		Test data	100	1	0.9674657534	100	0.1	0.9297945205	100	0.01	0.9349315068	100	0.01	0.9195205479
		Cross Validation	100	1	0.9629637679	100	0.1	0.9262700016	100	0.01	0.9355265631	100	0.01	0.9314146244
	5	Validation data	100	0.01	0.9443254818	100	0.1	0.8501070664	100	0.01	0.9014989293	100	0.01	0.8758029979
		Test data	100	0.01	0.9297945205	100	0.1	0.8955479452	100	0.01	0.8767123288	100	0.01	0.8578767123
		Cross Validation	100	0.01	0.9540455603	100	0.1	0.8854595973	100	0.01	0.8933462957	100	0.01	0.8693355107
	7	Validation data	100	0.01	0.9443254818	100	0.1	0.8029978587	100	0.01	0.8458244111	100	0.01	0.8029978587
		Test data	100	0.01	0.9400684932	100	0.1	0.7979452055	100	0.01	0.8493150685	100	0.01	0.7534246575
		Cross Validation	100	0.01	0.9434220729	100	0.1	0.8364264903	100	0.01	0.8580323786	100	0.01	0.8014409408
	10	Validation data	100	0.01	0.8950749465	100	0.01	0.6381156317	100	0.01	0.7708779443	100	0.01	0.6809421842
		Test data	100	0.01	0.9229452055	100	0.01	0.6866438356	100	0.01	0.7739726027	100	0.01	0.6523972603
		Cross Validation	100	0.01	0.9053502197	100	0.01	0.6851893841	100	0.01	0.7897859442	100	0.01	0.7273678893
