File	Buckets	Test Type	C-Records	Records/sec	C-MB	MB/sec	C-Avg	Avg latency	C-Max	Max latency		
		Cross Validation	100	0.6983617985	100	0.5766904845	100	0.7169832694	100	0.5224119902		
	10	Validation data	100	0.5515085653	100	0.4556711497	100	0.5739466241	100	0.4209296257		
		Test data	100	0.5439169234	100	0.5328863745	100	0.49393819	100	0.4092974123		
		Cross Validation	100	0.5158156152	100	0.4615806901	100	0.5754444057	100	0.4286075288		
Batch Size + Buffer Memory	2	Validation data	100	0.9892930673	0.1	0.9293355404	100	0.9678904045	10	0.9379003599		
		Test data	100	0.9982876562	0.1	0.9246495739	100	0.9606174779	10	0.9554653406		
		Cross Validation	100	0.9972573369	0.1	0.9224934796	100	0.961589793	10	0.9554183604		
	3	Validation data	100	0.9871142652	100	0.7586860678	100	0.9212333229	100	0.9106536681		
		Test data	100	0.987981977	100	0.7769451797	100	0.9121155026	100	0.8977112376		
		Cross Validation	100	0.9907393266	100	0.7633843605	100	0.9173459198	100	0.9032983623		
	5	Validation data	100	0.8016365254	0.1	0.6515016073	100	0.7953298346	100	0.749581969		
		Test data	100	0.7892367357	0.1	0.5985960725	100	0.805801224	100	0.7543354847		
		Cross Validation	100	0.7842900444	0.1	0.62826018	100	0.8137873305	100	0.7685172349		
	7	Validation data	100	0.6298519763	10	0.5144381096	100	0.7261563847	100	0.6553249171		
		Test data	100	0.6806958612	10	0.520980053	100	0.7402593026	100	0.6106840346		
		Cross Validation	100	0.7019807796	10	0.5349826124	100	0.7414266078	100	0.6608373082		
	10	Validation data	100	0.6083842701	1	0.3658907847	100	0.5585538687	100	0.5589505898		
		Test data	100	0.5987829495	1	0.4156744591	100	0.5890250089	100	0.5104246993		
		Cross Validation	100	0.602205174	1	0.4145985573	100	0.5956795272	100	0.5349755633		
Batch Size + Linger Ms	2	Validation data	100	0.9914297979	1	0.8887900221	100	0.9485982377	100	0.9571675561		
		Test data	100	0.9948635428	1	0.9365681515	100	0.9537626483	100	0.9503446498		
		Cross Validation	100	0.9931436359	1	0.9228341831	100	0.944787824	100	0.9530193379		
	3	Validation data	100	0.997859043	100	0.8451184157	100	0.8776843346	100	0.8911874405		
		Test data	100	0.9863024298	100	0.8014936609	100	0.9094246086	100	0.880352979		
		Cross Validation	100	0.9900538077	100	0.8093217651	100	0.898831622	100	0.8923200733		
	5	Validation data	100	0.7916240489	100	0.662700166	100	0.8081785229	100	0.7537636675		
		Test data	100	0.8006468323	100	0.6573346467	100	0.8127326332	100	0.7547858021		
		Cross Validation	100	0.774692192	100	0.6522562795	100	0.7753765361	100	0.746223478		
	7	Validation data	100	0.736499777	10	0.5818322897	100	0.6866010028	100	0.558629606		
		Test data	100	0.7681105347	10	0.5962258122	100	0.7060060251	100	0.5957955183		
		Cross Validation	100	0.7407563618	10	0.5829795108	100	0.7071336263	100	0.5967010503		
	10	Validation data	100	0.6530218108	1	0.4379212849	100	0.5758993308	100	0.4585720876		
		Test data	100	0.6030144074	1	0.4287100992	100	0.5759600711	100	0.4851955513		
		Cross Validation	100	0.607688738	1	0.4416974083	100	0.5932763928	100	0.4969078221		
Batch Size + Max Request Size	2	Validation data	100	0.9914346895	10	0.9058906738	10	0.9378729727	100	0.9635957605		
		Test data	100	0.9948635109	10	0.9159706032	10	0.9366842605	100	0.9623199282		
		Cross Validation	100	0.9962270025	10	0.9187175451	10	0.9482130689	100	0.9561032919		
	3	Validation data	100	0.9892490496	100	0.7771606686	100	0.9025599897	100	0.9187274137		
		Test data	100	0.9965710196	100	0.7869900783	100	0.9052516336	100	0.9105533972		
		Cross Validation	100	0.9921133015	100	0.7908039428	100	0.8988363213	100	0.9135805588		
	5	Validation data	100	0.8157775718	10	0.6379364876	100	0.7442178851	100	0.7380437645		
		Test data	100	0.8001746276	10	0.688968223	100	0.775521983	100	0.7261756458		
		Cross Validation	100	0.807948965	10	0.6532919007	100	0.7643947226	100	0.7493138937		
	7	Validation data	100	0.7081042443	100	0.5299077336	100	0.5902087755	100	0.5577680285		
		Test data	100	0.7284879733	100	0.5452649777	100	0.6074455409	100	0.5538675178		
		Cross Validation	100	0.7133009469	100	0.5675526916	100	0.6351141944	100	0.5895063324		
	10	Validation data	100	0.5894990115	100	0.4305724454	100	0.5817973081	100	0.4839523958		
		Test data	100	0.5585333582	100	0.4376102619	100	0.5779837812	100	0.4401405915		
		Cross Validation	100	0.6097411828	100	0.4835299232	100	0.5860722761	100	0.4708539909		
