File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
		Cross Validation	100	0.01	0.962962963	100	0.1	0.899382716	100	0.01	0.9209876543	100	0.01	0.8012345679
	7	Validation data	100	0.01	0.9238184008	100	0.1	0.8383593817	100	0.01	0.8329779561	100	0.01	0.6807844972
		Test data	100	0.01	0.9130274931	100	0.1	0.8268265334	100	0.01	0.8460909493	100	0.01	0.603875579
		Cross Validation	100	0.01	0.9333333333	100	0.1	0.8462962963	100	0.01	0.8666666667	100	0.01	0.6765432099
	10	Validation data	100	0.01	0.8956661729	100	0.1	0.7729332556	100	0.01	0.8402342915	100	0.01	0.5482644375
		Test data	100	0.01	0.8892898994	100	0.1	0.7400693964	100	0.01	0.831958834	100	0.01	0.5432575715
		Cross Validation	100	0.01	0.8851851852	100	0.1	0.75	100	0.01	0.812962963	100	0.01	0.5833333333
Message Size	2	Validation data	100	0.01	1	100	1	0.8435151447	100	0.1	0.9917435471	100	0.1	0.9421645829
		Test data	100	0.01	0.9802537116	100	1	0.9210526316	100	0.1	0.9539054207	100	0.1	0.9474599383
		Cross Validation	100	0.01	0.9775618682	100	1	0.8835918438	100	0.1	0.9695364238	100	0.1	0.9431073545
	3	Validation data	1	0.1	0.8542634663	100	0.01	0.8524526873	100	0.01	0.9506195559	100	0.01	0.8232412924
		Test data	1	0.1	0.8515389665	100	0.01	0.840795146	100	0.01	0.9145511044	100	0.01	0.9274111228
		Cross Validation	1	0.1	0.8597333566	100	0.01	0.8544963402	100	0.01	0.9563523876	100	0.01	0.9060996863
	5	Validation data	100	0.01	0.8826054987	100	0.01	0.6684969463	100	0.01	0.8437906535	100	0.01	0.8686148837
		Test data	100	0.01	0.8813274517	100	0.01	0.7767942876	100	0.01	0.8879457373	100	0.01	0.8888492277
		Cross Validation	100	0.01	0.8743203207	100	0.01	0.7472725688	100	0.01	0.8544789125	100	0.01	0.829400488
	7	Validation data	100	0.01	0.7935442078	100	0.01	0.6514730819	100	0.01	0.7753292263	100	0.01	0.6729213538
		Test data	100	0.01	0.7432846674	100	0.01	0.6919636711	100	0.01	0.7919496644	100	0.01	0.7650523446
		Cross Validation	100	0.01	0.7988846288	100	0.01	0.7010369467	100	0.01	0.8121558034	100	0.01	0.7699198327
	10	Validation data	100	0.1	0.7590971319	100	0.01	0.4785972781	100	0.01	0.6606805224	100	0.01	0.618057651
		Test data	100	0.1	0.8294911296	100	0.01	0.6050790058	100	0.01	0.744371278	100	0.01	0.6529120819
		Cross Validation	100	0.1	0.8015772046	100	0.01	0.6071017776	100	0.01	0.7248780063	100	0.01	0.6336964099
Batch Size + Buffer Memory	2	Validation data	100	0.01	0.9914335896	10	0.01	0.93571003	100	0.01	0.9593080587	100	0.01	0.9593435683
		Test data	100	0.01	0.9914386827	10	0.01	0.9418110371	100	0.01	0.9811756224	100	0.01	0.9640293455
		Cross Validation	100	0.01	0.9883391292	10	0.01	0.9434126742	100	0.01	0.9705074132	100	0.01	0.9567917479
	3	Validation data	100	1	0.9743208289	100	0.1	0.9401226149	100	0.01	0.9508531526	100	0.01	0.93392055
		Test data	100	1	0.9523291376	100	0.1	0.9294480997	100	0.01	0.9365607443	100	0.01	0.9196114079
		Cross Validation	100	1	0.9622758993	100	0.1	0.9310745083	100	0.01	0.93723478	100	0.01	0.9262682394
	5	Validation data	100	0.01	0.9377091648	100	0.1	0.8945724368	100	0.01	0.8935269734	100	0.01	0.862894281
		Test data	100	0.01	0.9488070112	100	0.1	0.890334006	100	0.01	0.9016479562	100	0.01	0.8625390718
		Cross Validation	100	0.01	0.950959844	100	0.1	0.8933521699	100	0.01	0.8957494302	100	0.01	0.8703752438
	7	Validation data	100	0.01	0.9356027178	100	0.1	0.8256752816	100	0.01	0.8650621949	100	0.01	0.7984210101
		Test data	100	0.01	0.9262126095	100	0.1	0.8393886462	100	0.01	0.8594743744	100	0.01	0.7751152081
		Cross Validation	100	0.01	0.944450645	100	0.1	0.8340198313	100	0.01	0.8614482248	100	0.01	0.7993855589
	10	Validation data	100	0.01	0.8929417583	100	0.01	0.6853582623	100	0.01	0.7894815649	100	0.01	0.7212625623
		Test data	100	0.01	0.9210669029	100	0.01	0.6246359603	100	0.01	0.7879516724	100	0.01	0.7053911161
		Cross Validation	100	0.01	0.9118676426	100	0.01	0.6772968115	100	0.01	0.7849796753	100	0.01	0.7304547804
Batch Size + Linger Ms	2	Validation data	100	0.01	0.9850093295	10	0.01	0.9336188437	100	0.01	0.9657422161	100	0.01	0.9593132823
		Test data	100	0.01	0.9965753425	10	0.01	0.9315100627	100	0.01	0.9520525452	100	0.01	0.9588896458
		Cross Validation	100	0.01	0.9907393266	10	0.01	0.9355248009	100	0.01	0.9650185625	100	0.01	0.9578138584
	3	Validation data	100	0.01	0.9850689063	100	0.01	0.8932966955	100	0.01	0.926945397	100	0.01	0.926942097
		Test data	100	0.01	0.9845995691	100	0.01	0.8850820319	100	0.01	0.943433607	100	0.01	0.886969688
		Cross Validation	100	0.01	0.9814839399	100	0.01	0.9043163608	100	0.01	0.9427300923	100	0.01	0.9094609836
	5	Validation data	100	0.01	0.9592972414	100	0.1	0.885139102	100	0.01	0.927747072	100	0.01	0.8144285938
		Test data	100	0.01	0.9692301819	100	0.1	0.8810859966	100	0.01	0.9284113414	100	0.01	0.8231823411
		Cross Validation	100	0.01	0.9605647454	100	0.1	0.8912891515	100	0.01	0.9146108931	100	0.01	0.8521975375
	7	Validation data	100	0.01	0.9380554509	100	0.1	0.858247618	100	0.01	0.8615608316	100	0.01	0.7616460177
		Test data	100	0.01	0.9435637785	100	0.1	0.871087386	100	0.01	0.8601075472	100	0.01	0.7767805352
		Cross Validation	100	0.01	0.9447866491	100	0.1	0.8528830565	100	0.01	0.8768820931	100	0.01	0.791820179
	10	Validation data	100	0.01	0.9018505281	100	0.1	0.7226873034	100	0.01	0.8184214419	100	0.01	0.6648857832
		Test data	100	0.01	0.9077703207	100	0.1	0.7744852006	100	0.01	0.8209594207	100	0.01	0.6611042759
		Cross Validation	100	0.01	0.9187222444	100	0.1	0.769538758	100	0.01	0.8230521159	100	0.01	0.7006214902
Linger Ms + Max Request Size	2	Validation data	1	0.1	0.9892895207	100	0.1	0.957181697	100	0.01	0.9743000572	100	1	0.939950266
		Test data	1	0.1	0.9794641185	100	0.1	0.9537439183	100	0.01	0.9503431938	100	1	0.9365305584
		Cross Validation	1	0.1	0.9821706337	100	0.1	0.9567893982	100	0.01	0.9681036913	100	1	0.9444441834
	3	Validation data	100	0.01	0.9786613497	100	0.1	0.9401095805	100	0.01	0.9385532661	100	0.01	0.935484774
		Test data	100	0.01	0.981205959	100	0.1	0.9399652185	100	0.01	0.9318230873	100	0.01	0.9090008476
		Cross Validation	100	0.01	0.981824056	100	0.1	0.9386134543	100	0.01	0.9396467257	100	0.01	0.9262694142
	5	Validation data	100	0.01	0.9440416616	100	0.01	0.8575288573	100	0.01	0.871727978	100	0.01	0.8388831984
		Test data	100	0.01	0.9484804877	100	0.01	0.8616351664	100	0.01	0.8902016575	100	0.01	0.8642156225
		Cross Validation	100	0.01	0.9574772669	100	0.01	0.85527503	100	0.01	0.9067241946	100	0.01	0.8590556639
	7	Validation data	100	0.01	0.9209061772	100	0.1	0.7992552232	100	1	0.785520747	100	0.01	0.7556608214
		Test data	100	0.01	0.9368911535	100	0.1	0.8290487218	100	1	0.8046427807	100	0.01	0.7722624593
		Cross Validation	100	0.01	0.9269537583	100	0.1	0.8329983082	100	1	0.8117166757	100	0.01	0.7832679339
	10	Validation data	100	0.01	0.9401039321	100	0.1	0.7331970622	100	0.01	0.8128557314	100	0.01	0.6648231843
		Test data	100	0.01	0.9110381681	100	0.1	0.7667510554	100	0.01	0.8240232495	100	0.01	0.6626194662
		Cross Validation	100	0.01	0.9142713645	100	0.1	0.7729745765	100	0.01	0.8251033859	100	0.01	0.7126195399
