 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
		Cross Validation	1	0.6349163472	1	0.4656326246	20	0.4590623911	4	0.2672098292		
	10	Validation data	1	0.5123966942	1	0.3801652893	8	0.3223140496	1	0.2727272727		
		Test data	1	0.5131578947	1	0.4342105263	8	0.2894736842	1	0.2565789474		
		Cross Validation	1	0.5436301847	1	0.4523353085	8	0.3756883932	1	0.2195712792		
Batch Size + Buffer Memory	2	Validation data	1	0.9164882227	1	0.8822269807	5	0.9057815846	2	0.8308351178		
		Test data	1	0.897260274	1	0.9058219178	5	0.9160958904	2	0.8390410959		
		Cross Validation	1	0.9235267511	1	0.9098046242	5	0.9139206748	2	0.8477431331		
	3	Validation data	1	0.8372591006	1	0.8715203426	1	0.852248394	1	0.755888651		
		Test data	1	0.8441780822	1	0.8613013699	1	0.8544520548	1	0.7756849315		
		Cross Validation	1	0.865223572	1	0.8806609648	1	0.8566478301	1	0.795611974		
	5	Validation data	1	0.7665952891	1	0.8115631692	1	0.7858672377	1	0.6959314775		
		Test data	1	0.7585616438	1	0.852739726	1	0.7517123288	1	0.6660958904		
		Cross Validation	1	0.7901237106	1	0.8497955779	1	0.7915035598	1	0.6893019103		
	7	Validation data	1	0.7451820128	1	0.8329764454	1	0.7644539615	1	0.5631691649		
		Test data	1	0.7517123288	1	0.8133561644	1	0.7363013699	1	0.6404109589		
		Cross Validation	1	0.7674851383	1	0.8377963533	1	0.7441710332	1	0.6193460843		
	10	Validation data	1	0.6788008565	1	0.7794432548	1	0.6809421842	1	0.5117773019		
		Test data	1	0.6712328767	1	0.7756849315	1	0.6575342466	1	0.4743150685		
		Cross Validation	1	0.6824461336	1	0.8035045466	1	0.6848398694	1	0.5174857257		
Batch Size + Linger Ms	2	Validation data	1	0.9464668094	1	0.9207708779	1	0.8972162741	1	0.8479657388		
		Test data	1	0.9349315068	1	0.8989726027	1	0.9006849315	1	0.8219178082		
		Cross Validation	1	0.9338183463	1	0.9259275359	1	0.9139294861	1	0.8573392232		
	3	Validation data	1	0.9143468951	1	0.886509636	1	0.8586723769	1	0.721627409		
		Test data	1	0.9075342466	1	0.8955479452	1	0.845890411	1	0.7174657534		
		Cross Validation	1	0.9115193026	1	0.9022621537	1	0.8587196598	1	0.7383379544		
	5	Validation data	1	0.8244111349	1	0.8501070664	1	0.8158458244	1	0.5824411135		
		Test data	1	0.8356164384	1	0.8715753425	1	0.8270547945	1	0.602739726		
		Cross Validation	1	0.8412168989	1	0.8789527479	1	0.8175667896	1	0.6224265138		
	7	Validation data	1	0.800856531	1	0.8672376874	1	0.7601713062	1	0.5203426124		
		Test data	1	0.801369863	1	0.8441780822	1	0.7602739726	1	0.5239726027		
		Cross Validation	1	0.815157781	1	0.8665969595	1	0.7685189972	1	0.5380630419		
	10	Validation data	1	0.7323340471	1	0.8286937901	1	0.73875803	1	0.4282655246		
		Test data	1	0.7226027397	1	0.8321917808	1	0.7157534247	1	0.470890411		
		Cross Validation	1	0.7321635847	1	0.8518491976	1	0.7242898094	1	0.4609107357		
Batch Size + Max Request Size	2	Validation data	3	0.8907922912	1	0.869379015	1	0.8907922912	1	0.7922912206		
		Test data	3	0.904109589	1	0.8818493151	1	0.8698630137	1	0.7945205479		
		Cross Validation	3	0.9070701849	1	0.9022645034	1	0.8919758453	1	0.8062448601		
	3	Validation data	1	0.8479657388	1	0.8394004283	1	0.8394004283	1	0.6723768737		
		Test data	1	0.8441780822	1	0.8767123288	1	0.8219178082	1	0.6643835616		
		Cross Validation	1	0.8624867831	1	0.883062337	1	0.8326529054	1	0.6899944783		
	5	Validation data	1	0.7323340471	1	0.8565310493	1	0.7580299786	1	0.5246252677		
		Test data	1	0.779109589	1	0.845890411	1	0.7243150685	1	0.5907534247		
		Cross Validation	1	0.7887462111	1	0.8580206302	1	0.7709244813	1	0.5696162974		
	7	Validation data	1	0.6723768737	1	0.835117773	1	0.6959314775	1	0.4304068522		
		Test data	1	0.7157534247	1	0.823630137	1	0.6934931507	1	0.4452054795		
		Cross Validation	1	0.7218731643	1	0.8182499589	1	0.71879156	1	0.4797692615		
	10	Validation data	1	0.6102783726	1	0.8094218415	1	0.6445396146	1	0.3875802998		
		Test data	1	0.6301369863	1	0.7996575342	1	0.6643835616	1	0.3818493151		
		Cross Validation	1	0.6738745036	1	0.8076041495	1	0.6831187293	1	0.4080969948		
Buffer Memory + Linger Ms	2	Validation data	3	0.9421841542	1	0.9571734475	1	0.9379014989	1	0.9207708779		
		Test data	3	0.9520547945	1	0.9503424658	1	0.9212328767	1	0.8989726027		
		Cross Validation	3	0.9440987805	1	0.961589793	1	0.9334711812	1	0.9218144223		
	3	Validation data	1	0.8929336188	1	0.9421841542	1	0.9014989293	1	0.869379015		
		Test data	1	0.904109589	1	0.9417808219	1	0.9006849315	1	0.8595890411		
		Cross Validation	1	0.9221492516	1	0.9420422237	1	0.9094621584	1	0.8621372683		
	5	Validation data	1	0.8458244111	1	0.9186295503	1	0.8715203426	1	0.7644539615		
		Test data	1	0.8339041096	1	0.9126712329	1	0.8698630137	1	0.7654109589		
		Cross Validation	1	0.8593904932	1	0.9255850701	1	0.8659085035	1	0.7712628351		
	7	Validation data	1	0.8051391863	1	0.8972162741	1	0.7922912206	1	0.687366167		
		Test data	1	0.8184931507	1	0.8784246575	1	0.7859589041	1	0.6626712329		
		Cross Validation	1	0.830589887	1	0.9084347612	1	0.8179010315	1	0.7019878287		
	10	Validation data	1	0.7473233405	1	0.8608137045	1	0.73875803	1	0.6038543897		
		Test data	1	0.7808219178	1	0.8510273973	1	0.7465753425	1	0.5976027397		
		Cross Validation	1	0.7705773162	1	0.8916322047	1	0.7654356305	1	0.6310151789		
Linger Ms + Max Request Size	2	Validation data	5	0.9314775161	1	0.9357601713	1	0.8993576017	1	0.835117773		
		Test data	5	0.904109589	1	0.9229452055	1	0.9006849315	1	0.8732876712		
		Cross Validation	5	0.9386122794	1	0.9279805682	1	0.9104954299	1	0.8497850043		
	3	Validation data	1	0.9057815846	1	0.8950749465	1	0.8608137045	1	0.7473233405		
		Test data	1	0.9023972603	1	0.9023972603	1	0.8613013699	1	0.7311643836		
		Cross Validation	1	0.9118694048	1	0.9019191005	1	0.8624820837	1	0.7489655537		
	5	Validation data	3	0.817987152	1	0.8822269807	1	0.8029978587	1	0.5760171306		
		Test data	3	0.8150684932	1	0.8801369863	1	0.7739726027	1	0.573630137		
		Cross Validation	3	0.8295660142	1	0.8731102704	1	0.7962963181	1	0.6011578045		
	7	Validation data	3	0.7687366167	1	0.8329764454	1	0.755888651	1	0.5267665953		
		Test data	3	0.772260274	1	0.8510273973	1	0.7465753425	1	0.5325342466		
		Cross Validation	3	0.799040156	1	0.8552803167	1	0.7578837614	1	0.5370397566		
	10	Validation data	1	0.6980728051	1	0.8479657388	1	0.6809421842	1	0.426124197		
		Test data	1	0.7363013699	1	0.852739726	1	0.6815068493	1	0.4160958904		
		Cross Validation	1	0.7345714185	1	0.84430379	1	0.7177629879	1	0.4159807561		
