File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
		Cross Validation	100	0.7102823283	100	0.5555942837	100	0.7196497037	100	0.4999302893		
	10	Validation data	100	0.520661157	100	0.520661157	100	0.6115702479	100	0.3966942149		
		Test data	100	0.4736842105	100	0.4407894737	100	0.5263157895	100	0.375		
		Cross Validation	100	0.5424276751	100	0.4537643778	100	0.5767253398	100	0.4178895085		
Batch Size + Buffer Memory	2	Validation data	100	0.9978586724	0.1	0.9207708779	100	0.9507494647	10	0.9550321199		
		Test data	100	0.9965753425	0.1	0.926369863	100	0.9589041096	10	0.9554794521		
		Cross Validation	100	0.9962281774	0.1	0.9235343876	100	0.9646772716	10	0.9523314693		
	3	Validation data	100	0.9892933619	100	0.7580299786	100	0.9057815846	100	0.8672376874		
		Test data	100	0.9914383562	100	0.7602739726	100	0.9212328767	100	0.8921232877		
		Cross Validation	100	0.9883385418	100	0.7674857257	100	0.9176948472	100	0.9015807467		
	5	Validation data	100	0.7965738758	0.1	0.5974304069	100	0.7987152034	100	0.8094218415		
		Test data	100	0.7945205479	0.1	0.6506849315	100	0.8424657534	100	0.772260274		
		Cross Validation	100	0.7853280152	0.1	0.6285920722	100	0.8093294015	100	0.7757201767		
	7	Validation data	100	0.6830835118	10	0.5588865096	100	0.721627409	100	0.6466809422		
		Test data	100	0.7157534247	10	0.529109589	100	0.6952054795	100	0.6729452055		
		Cross Validation	100	0.7071365634	10	0.5373851594	100	0.7362837473	100	0.6687198947		
	10	Validation data	100	0.5867237687	1	0.4111349036	100	0.6038543897	100	0.5546038544		
		Test data	100	0.6113013699	1	0.4246575342	100	0.6215753425	100	0.5188356164		
		Cross Validation	100	0.6008306116	1	0.4163238093	100	0.6025358914	100	0.5339422919		
Batch Size + Linger Ms	2	Validation data	100	0.9957173448	1	0.9229122056	100	0.9336188437	100	0.948608137		
		Test data	100	0.9931506849	1	0.9143835616	100	0.9400684932	100	0.9349315068		
		Cross Validation	100	0.9927976456	1	0.923872154	100	0.9427289175	100	0.9547351911		
	3	Validation data	100	0.9807280514	100	0.8115631692	100	0.9014989293	100	0.8993576017		
		Test data	100	0.9880136986	100	0.8150684932	100	0.8869863014	100	0.8904109589		
		Cross Validation	100	0.9900549825	100	0.8079636505	100	0.8964290749	100	0.8916239808		
	5	Validation data	100	0.7987152034	100	0.6445396146	100	0.7987152034	100	0.7708779443		
		Test data	100	0.7842465753	100	0.6164383562	100	0.7654109589	100	0.7123287671		
		Cross Validation	100	0.7709150826	100	0.6543181231	100	0.7798409267	100	0.7510168237		
	7	Validation data	100	0.7687366167	10	0.6059957173	100	0.7087794433	100	0.5845824411		
		Test data	100	0.7671232877	10	0.5907534247	100	0.7089041096	100	0.573630137		
		Cross Validation	100	0.7424457812	10	0.5867660189	100	0.7071412627	100	0.5987693555		
	10	Validation data	100	0.6017130621	1	0.443254818	100	0.6145610278	100	0.4796573876		
		Test data	100	0.6198630137	1	0.4554794521	100	0.5650684932	100	0.477739726		
		Cross Validation	100	0.6073245377	1	0.4389523955	100	0.5984315891	100	0.4921103644		
Batch Size + Max Request Size	2	Validation data	100	0.9935760171	10	0.9400428266	10	0.9528907923	100	0.9528907923		
		Test data	100	0.9965753425	10	0.9143835616	10	0.9349315068	100	0.9606164384		
		Cross Validation	100	0.9975998026	10	0.9163232219	10	0.947190371	100	0.9547328415		
	3	Validation data	100	0.9764453961	100	0.7751605996	100	0.903640257	100	0.9100642398		
		Test data	100	0.9760273973	100	0.772260274	100	0.8921232877	100	0.9126712329		
		Cross Validation	100	0.9917678987	100	0.7911487582	100	0.8971151813	100	0.9156353533		
	5	Validation data	100	0.8201284797	10	0.670235546	100	0.7901498929	100	0.7301927195		
		Test data	100	0.779109589	10	0.6592465753	100	0.7568493151	100	0.7465753425		
		Cross Validation	100	0.8103503372	10	0.6587784017	100	0.7685142978	100	0.7476033271		
	7	Validation data	100	0.7130620985	100	0.5717344754	100	0.6274089936	100	0.6488222698		
		Test data	100	0.727739726	100	0.5684931507	100	0.6335616438	100	0.595890411		
		Cross Validation	100	0.7109124979	100	0.5582926056	100	0.6382057849	100	0.5877904791		
	10	Validation data	100	0.6102783726	100	0.4368308351	100	0.5695931478	100	0.4689507495		
		Test data	100	0.625	100	0.4931506849	100	0.5376712329	100	0.4434931507		
		Cross Validation	100	0.6121325689	100	0.4825060504	100	0.5830053573	100	0.475644987		
Buffer Memory + Linger Ms	2	Validation data	100	0.9978586724	10	0.8501070664	100	0.948608137	100	0.9571734475		
		Test data	100	0.9982876712	10	0.845890411	100	0.9640410959	100	0.9589041096		
		Cross Validation	100	0.9962270025	10	0.8546018468	100	0.9585093635	100	0.9615962546		
	3	Validation data	100	0.9957173448	10	0.7580299786	100	0.9271948608	100	0.9464668094		
		Test data	100	0.9880136986	10	0.7585616438	100	0.9315068493	100	0.9229452055		
		Cross Validation	100	0.9931406988	10	0.7740078479	100	0.9228412322	100	0.9132463169		
	5	Validation data	100	0.7601713062	100	0.591006424	100	0.7965738758	100	0.7751605996		
		Test data	100	0.7585616438	100	0.5856164384	100	0.8082191781	100	0.7688356164		
		Cross Validation	100	0.7801745812	100	0.5624227543	100	0.8055522921	100	0.7757248761		
	7	Validation data	100	0.7451820128	10	0.4753747323	100	0.6959314775	100	0.6830835118		
		Test data	100	0.7671232877	10	0.4897260274	100	0.6832191781	100	0.6489726027		
		Cross Validation	100	0.7362831598	10	0.4962328767	100	0.7191393125	100	0.6752349679		
	10	Validation data	100	0.5952890792	100	0.391862955	100	0.5952890792	100	0.5888650964		
		Test data	100	0.5719178082	100	0.4503424658	100	0.5753424658	100	0.5376712329		
		Cross Validation	100	0.6069973449	100	0.3837419817	100	0.6032161235	100	0.5517881059		
Linger Ms + Max Request Size	2	Validation data	1	0.9935760171	100	0.8950749465	100	0.9678800857	100	0.9550321199		
		Test data	1	0.9845890411	100	0.9058219178	100	0.9743150685	100	0.9606164384		
		Cross Validation	1	0.9914266078	100	0.9067194953	100	0.9663925374	100	0.9588424305		
	3	Validation data	100	0.9850107066	10	0.7623126338	100	0.9207708779	100	0.9100642398		
		Test data	100	0.9880136986	10	0.7585616438	100	0.9195205479	100	0.9075342466		
		Cross Validation	100	0.9886833572	10	0.7801781057	100	0.9231831105	100	0.9173523814		
	5	Validation data	100	0.7858672377	100	0.6573875803	100	0.8286937901	100	0.7580299786		
		Test data	100	0.8082191781	100	0.676369863	100	0.8099315068	100	0.7517123288		
		Cross Validation	100	0.7907939566	100	0.6447326065	100	0.8048697103	100	0.7373023332		
	7	Validation data	100	0.7259100642	100	0.5310492505	10	0.7130620985	100	0.5867237687		
		Test data	100	0.7157534247	100	0.5496575342	10	0.7037671233	100	0.6335616438		
		Cross Validation	100	0.7428046947	100	0.5469759628	10	0.6848345826	100	0.5967133861		
	10	Validation data	100	0.6616702355	100	0.4239828694	100	0.5824411135	100	0.4860813704		
		Test data	100	0.6626712329	100	0.4058219178	100	0.5702054795	100	0.448630137		
		Cross Validation	100	0.6447096971	100	0.4451273526	100	0.5799037806	100	0.4921103644		
