 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
		Test data	1	0.6434197734	1	0.4666263688	20	0.4669700192	4	0.2386807658		
		Cross Validation	1	0.653433252	1	0.4748431509	20	0.4484402231	4	0.2777797142		
	10	Validation data	1	0.475661806	1	0.488023939	8	0.391366118	1	0.2287859429		
		Test data	1	0.5718843145	1	0.3860792812	8	0.4333355424	1	0.2413763199		
		Cross Validation	1	0.5450069711	1	0.4510630882	8	0.365127222	1	0.2367549669		
Batch Size + Buffer Memory	2	Validation data	1	0.9122499478	1	0.892932637	5	0.9100964305	2	0.8263280783		
		Test data	1	0.90582606	1	0.885289111	5	0.9109589041	2	0.8450413023		
		Cross Validation	1	0.9170093282	1	0.909461571	5	0.9142713645	2	0.8463644588		
	3	Validation data	1	0.8542604221	1	0.8630383226	1	0.8408217024	1	0.7728777814		
		Test data	1	0.8623006674	1	0.8888477948	1	0.8442450342	1	0.7993195263		
		Cross Validation	1	0.8648887427	1	0.8717468691	1	0.8624814963	1	0.7918360394		
	5	Validation data	1	0.7842823876	1	0.8557985668	1	0.8007771051	1	0.6692616237		
		Test data	1	0.7989165827	1	0.8105011771	1	0.7873397029	1	0.687931152		
		Cross Validation	1	0.7887556099	1	0.8511607416	1	0.7928675486	1	0.6851858596		
	7	Validation data	1	0.7403655207	1	0.8268855993	1	0.7150742652	1	0.6364523443		
		Test data	1	0.7512448304	1	0.8052409243	1	0.7469556856	1	0.574197114		
		Cross Validation	1	0.7784628398	1	0.8401924387	1	0.7410847294	1	0.6107603562		
	10	Validation data	1	0.6562995469	1	0.7463842262	1	0.6955816767	1	0.5093927155		
		Test data	1	0.666846757	1	0.8220018251	1	0.661940572	1	0.4883877749		
		Cross Validation	1	0.6944518198	1	0.8141256843	1	0.6893066096	1	0.5178370027		
Batch Size + Linger Ms	2	Validation data	1	0.935771955	1	0.8950364123	1	0.8886693508	1	0.8372068597		
		Test data	1	0.9246504648	1	0.9023614223	1	0.9297667128	1	0.7971611172		
		Cross Validation	1	0.9341590498	1	0.9207829131	1	0.9070678352	1	0.8467069245		
	3	Validation data	1	0.9060423276	1	0.8864834345	1	0.8867679034	1	0.7043960209		
		Test data	1	0.9215097913	1	0.8870580535	1	0.8428560795	1	0.7386106156		
		Cross Validation	1	0.9135799713	1	0.9015748725	1	0.8631740642	1	0.7373040955		
	5	Validation data	1	0.8007860977	1	0.842828119	1	0.7967387539	1	0.6382051541		
		Test data	1	0.835624791	1	0.8933443526	1	0.7866311484	1	0.5955830883		
		Cross Validation	1	0.8401912639	1	0.8789468738	1	0.8237370474	1	0.6306597899		
	7	Validation data	1	0.8056352746	1	0.8698672874	1	0.775473872	1	0.5358492138		
		Test data	1	0.7962940275	1	0.8525722156	1	0.7821453014	1	0.4838044763		
		Cross Validation	1	0.814472262	1	0.8655678	1	0.7760626424	1	0.5394423036		
	10	Validation data	1	0.7062612764	1	0.8452901205	1	0.6307103493	1	0.4535908503		
