file	Buckets	Test Type	Neighbors-Records	Records/sec	Neighbors-MB	MB/sec	Neighbors-Avg	Avg latency	Neighbors-Max	Max latency		
Message Size	3	Validation data	3	0.8099173554	1	0.4876033058	1	0.694214876	1	0.4710743802		
Message Size		Test data	3	0.7697368421	1	0.6315789474	1	0.6776315789	1	0.4934210526		
Message Size		Cross Validation	3	0.8293917741	1	0.57811084	1	0.6931073545	1	0.5012983618		
Message Size	5	Validation data	1	0.7190082645	1	0.4380165289	7	0.5371900826	1	0.3719008264		
Message Size		Test data	1	0.6973684211	1	0.4868421053	7	0.4802631579	1	375		
Message Size		Cross Validation	1	0.699729871	1	0.4788253747	7	0.5066835134	1	0.3835744162		
Message Size	7	Validation data	1	0.6198347107	1	0.3966942149	20	0.4049586777	4	0.1983471074		
Message Size		Test data	1	0.6644736842	1	0.4539473684	20	0.4539473684	4	0.3026315789		
Message Size		Cross Validation	1	0.6560909725	1	0.4576420356	20	0.4351254793	4	0.254025793		
Message Size	10	Validation data	1	0.5537190083	1	0.3719008264	8	0.3140495868	1	0.1900826446		
Message Size		Test data	1	0.5131578947	1	0.4342105263	8	0.4013157895	1	0.1973684211		
Message Size		Cross Validation	1	0.5410508888	1	0.4484489369	8	0.3518211921	1	0.2262286511		
Batch Size + Buffer Memory	2	Validation data	1	0.9207708779	1	0.8950749465	5	0.8993576017	2	0.8501070664		
Batch Size + Buffer Memory		Test data	1	0.9212328767	1	0.8886986301	5	0.9212328767	2	0.8339041096		
Batch Size + Buffer Memory		Cross Validation	1	0.9166651002	1	0.9074161752	5	0.9149498343	2	0.8508235626		
Batch Size + Buffer Memory	3	Validation data	1	0.8201284797	1	0.8736616702	1	0.8372591006	1	0.7665952891		
Batch Size + Buffer Memory		Test data	1	0.8510273973	1	0.8595890411	1	0.8510273973	1	0.7842465753		
Batch Size + Buffer Memory		Cross Validation	1	0.8580306163	1	0.8820302404	1	0.8549431378	1	0.8017892808		
Batch Size + Buffer Memory	5	Validation data	1	0.7815845824	1	0.8308351178	1	0.7987152034	1	0.704496788		
Batch Size + Buffer Memory		Test data	1	0.7773972603	1	0.8287671233	1	0.7808219178	1	0.6712328767		
Batch Size + Buffer Memory		Cross Validation	1	0.7987023896	1	0.8511589793	1	0.7945792899	1	0.6786807726		
